Date;Commit Hash;LOC;Total LOC
2021-10-28T12:24:40+03:00;c3df9779f678d45ebb1515bc4965f6574b30e72d;34895;37664
2021-10-04T11:09:36+02:00;8f804b2ae110a68d9ab33a516d2c99ccf6979ee5;34895;37664
2021-07-17T08:01:15+03:00;681bfc71edf6c3721109bd0f263b33c92ec3ba2e;34892;37661
2021-06-11T10:41:35+03:00;720f6b7bc325a8a87df9ae33da125a80069b1d5c;34899;37668
2021-05-04T22:01:38+03:00;61d219699005743338a41768c41bca0a8678d24e;34894;37663
2021-03-30T13:03:23+03:00;7bd9448ae9a7f59cfbe03e7e9c334156fac04450;34796;37565
2021-03-07T17:20:29+01:00;4f260881c7158bc5aede881f5f0ed272df2ab580;34489;37258
2021-01-17T10:48:38+03:00;acab20a7826b2cd239647513cc651eadb84dd594;34418;37187
2020-12-22T17:17:15+03:00;787f0b66ae2078ef50a803bdf38975056fa1b6e9;34375;37138
2020-12-07T14:34:36+03:00;afe27b12d2d7b67be77e23220b9a7b1dc2c8365c;34445;37016
2020-11-22T22:18:21+03:00;e5b0c9170ca47afd8b8715a5dcf68b5a611f71f1;32228;33830
2020-11-07T14:14:46+03:00;97b89ef98f258916d731838da6709fee6267d825;31564;32390
2020-07-15T10:28:17+03:00;affc72ec009393134688e17110a8d38661d2a99a;31356;32163
2020-06-22T17:25:17+03:00;87689e023052cf0fc3c630a8e65d7cd262145656;31159;31828
2020-05-16T10:09:36+03:00;44ca905c82cc8108a906f5c1c739dfac052ccf0a;31103;31772
2020-04-28T16:28:32+03:00;6d8e8982806b29c7bd23a64065a375e9d5a2a9c9;30674;31343
2020-04-11T08:18:48+03:00;2c64c77fa3cc5084cdbad19217204c98f5187b31;30531;31200
2020-03-19T09:10:34+03:00;4e3db9225b3d54c00c94d9df26dbd1b430f9a3ac;30210;30879
2020-01-28T13:39:28+03:00;461a66ce6d197a3816218bf94ffd114a367c1ef1;30210;30879
2019-12-30T10:18:30+03:00;69993ce5fadaa98bf2673d07f9dcc73430a2544d;30210;30879
2019-12-13T15:53:11+03:00;d9aed4f8cf9a6a5343a3e3aa29bc567faebb5199;30123;30792
2019-11-15T11:34:37+03:00;e6aec17ae5620347db32dcc7664664b23f77cd2c;30003;30672
2019-10-21T16:36:29+03:00;b901a26fff09af4a16581429a1c5748d21520b7f;29965;30634
2019-10-01T10:49:01+03:00;c0446fa71177a3c058438787de9a4473a04c5756;29960;30629
2019-09-14T11:03:27-03:00;1ed26b72e090d4cdacc1ac4f771f98fffa0f28d9;29956;30625
2019-08-24T12:57:41+03:00;a551614040f0a7b793b41a4a63386675ca61d8da;29954;30623
2019-08-01T11:45:10+03:00;f8b3521e621568c967d68e3a35b1041194f8e164;29331;30000
2019-06-25T09:35:36+03:00;b1ce69a29a0717b29770ddc0667c1adf05cfdc82;29330;29941
2019-05-09T09:43:39+10:00;73cf13853b8b9b18df9ee9b45c222e3550d48fed;29330;29916
2019-03-12T23:06:34+03:00;b76a745b74ca6e481bf8ce1de3dc9c0fd57789ff;29330;29994
2019-02-14T22:07:24+03:00;fb8e2673b53256158a867d9878344f10a6854e34;29656;30320
2019-01-21T15:20:04+03:00;d5990756522d4947f4b6d2efa8b3e138becbb71a;29612;30276
2018-12-31T12:09:13+03:00;bf3822602da988e37a5a7e16ad16d84472ec26fa;29318;29982
2018-11-27T08:53:27+01:00;91348b025144b61a2d3b7417988373d0dc8c8d00;29309;29973
2018-10-24T17:01:31+03:00;3febe6853e4a3f07aabb31619a44ad3258d90e69;29299;29963
2018-09-14T22:21:02+03:00;d1f8387a05ccc409d57505460d5fde27637ce902;29239;29903
2018-08-30T11:49:51+03:00;2025fad26c59c008e83a81a407b7e233d5573ca0;29300;29964
2018-08-06T13:40:23+03:00;4a2fb5292dfb5faf8b787c74375453df40d0ee5d;28577;29238
2018-07-17T23:00:07+03:00;2d4d0d1aff71b301306109a7cd29ca50cde375d5;28134;28795
2018-06-26T14:46:56+02:00;a2fab1037946de87e448e5fc7539277cd6fb9ec3;28072;28733
2018-06-06T13:48:43+03:00;946398e535cf2586ca59f37eaf8aa9e72f43fde4;27971;28632
2018-05-22T17:02:14+03:00;b1fd340b157db7525a3dd06e82c58e41db4dc369;26193;26854
2018-05-07T16:22:18+03:00;32879e0f2dd6dec9bddbf1325aef25b02e17664d;24579;25241
2018-04-13T15:02:21+03:00;c7f5c2a7bc1f787dbae1f2525ecda0fa40a221ec;24520;25183
2018-03-29T22:21:11+03:00;b584ef0e271e4c98c87c48412c083f3e52730e99;24463;25126
2018-03-09T12:20:07+01:00;801a2fbd87a78f8c9d2297711e92347220fe2b89;24279;24942
2017-12-22T10:27:39+01:00;f747d1afc2afa1bdc410afd75698de6cba278e4e;24277;24940
2017-11-30T21:39:48+03:00;75b2a171840b0841efaba97dd871980b174e47a7;24273;24936
2017-11-15T12:00:14+03:00;156b2fedc746b95d771a1afd5557acfe73fd8078;24174;24837
2017-10-30T23:31:47+03:00;947d8d2729baa77223259f89e17c7da532a9b596;24075;24737
