Date;Commit Hash;LOC;Total LOC
2013-11-12T16:12:09-06:00;e73dccc1eca0240665929782a087263c5466a042;502927;539027
2013-11-08T16:53:55-08:00;4a59427360e946f13fbfdbf79d5e5385e2928890;502915;539005
2013-07-16T10:47:41-07:00;3bef15a9f0fd935cd93948188f02124c7c2bcdec;523602;559643
2013-06-27T00:42:16-05:00;d3a9b8a30def71ac8c3c3859d16937e72da202fc;524193;560275
2013-06-25T09:58:16-07:00;447d7371719f020807461f6fd697e42ed609ada4;524105;560187
2013-06-11T20:05:53-07:00;0cebe4608c328606b7fc33a52a29d4a5ad7229bd;520092;556174
2013-05-28T12:51:14-07:00;d6b4e5d7ea9e9afe1c9e77615870bee48a43b5ee;519531;555578
2013-04-18T20:07:46+00:00;6a740898c9290243ec6e5cfe03db8eae49aed240;505456;541102
2013-04-01T18:19:30-05:00;c1a8f75385562148cff80911676f89650fd678a2;505069;540710
2013-03-29T17:00:10-05:00;e8b1a8d8d673008a539f2df80b65379ec9e5fcf0;504941;540582
2013-03-25T11:55:16-05:00;e45cb8852c81ecb6d3a971b3206425560d49fe5b;508063;543704
2013-03-01T20:27:50+00:00;294809fc7eb5f8cafbc936445b702f72597e72b1;504269;539884
2013-02-08T05:29:37+00:00;87737a260917e38463ea3ca527a3213fd3c07b13;503640;539747
2013-02-08T03:12:23+00:00;e46c99a9e1379f9cd15fb0ab72d9e831c1e1e1f5;503599;539706
2013-02-05T00:23:17-06:00;4f6798e5e7ac7e9573fa38dca80a8890a7db8acb;503503;539610
2013-02-04T20:22:06-08:00;e6c40daa8bd87602b6c77dee16a62c19fe8ac89d;503500;539607
2013-02-01T03:29:36+00:00;77de81b528e7c33119e521f8c904269c898346f6;503172;539279
2013-01-29T23:33:51-06:00;e2fb040c4a8e9bf22879c66ec5e4f466d171ee56;501455;537562
2013-01-29T00:04:44-06:00;b3300a7fa9eddb4c2df30aecf17260b3fa1d8df8;501411;537517
2013-01-28T16:47:51-06:00;4c64b74933a7994cbe5c4e1e0163b349115bfcdb;501412;537518
2013-01-28T16:23:45-06:00;e21cf7ea22d7502fe79749a448df2232ac3bd01a;501401;537507
2013-01-24T20:33:56-06:00;a6d5c5171a3d02ed1156205c6798e43ddee86310;501268;537355
2013-01-18T17:23:34-05:00;3cbd56872dbdf4bafb075294c03d6cc9edc69648;501014;537101
2012-12-20T15:13:20-06:00;a631d2cd49046adefa4c612536f24163e67856cd;501094;537166
2012-12-16T14:51:13-06:00;3729bc86d2b12605d2b99cd503ff5018362ba66b;500999;537071
2012-12-14T12:33:02-06:00;f7a63ed8aeaa32f7b2ae12a2090c48c58fe5e3ea;500959;537031
2012-12-06T22:23:41-06:00;8fc708ac40d1bb791472737e790d3fa49c8ad449;499443;535403
2012-12-06T15:20:06-06:00;8c62d25399a4fbbc8cc8843aaccc0d3fcaf7c8b9;497981;533941
2012-11-09T11:41:22-06:00;03f239b0aafc02a4a8ca63c457c42c1ff16bf831;497025;532976
2012-11-02T10:52:44-05:00;12e3809d027e2707c3dfc0a2f7841613198f7977;497030;532988
2012-11-01T13:38:12-05:00;796ceb9bc6917b918367a87027bcebb6d44c34c8;497008;533584
2012-10-25T18:29:58-05:00;c3c87c409f1ddee9ae4052d3ec97e3d039bb8064;496551;533111
2012-10-25T15:46:31-05:00;0fc7988db29b0bf80b0c615adcc915e21a79a552;495857;532417
2012-10-24T01:55:23-05:00;ed8b0d2b372241b727d210a0ad2ae48a7cf3d5fc;495431;531991
2012-10-20T18:43:57-05:00;171f484223182aee5439820f00604b5e7685cc18;495338;531898
2012-10-19T18:11:35-05:00;e254aac41b561710e3df2aea07fca3ad7de2d78c;495335;531895
2012-10-19T11:04:57-05:00;2fd8a8d59ddff181ded5fec2c6d189dafcbff6c8;495282;531842
2012-10-15T12:26:17-05:00;173103df6d0241636c6ff5351fcce24eb7361523;494684;531226
2012-10-14T22:17:07-05:00;6e7d8d7dc2d484c7559344b70a549a9167c26105;494715;531257
2012-10-14T12:07:54-05:00;cba5c5aee997f51221767339978f9f00acef3e50;494794;531336
