Date;Commit Hash;LOC;Total LOC
2024-03-13T20:43:19+01:00;46c43eda9914f76cb059a816a9439a3eb651070b;76449;308641
2023-07-10T13:18:18+02:00;9b147e0b46df09f8bf88092e4b2c744780a2a77f;74761;304184
2022-12-27T22:24:07+01:00;5c9e9746d484f53cb2776b13a341a703f0c748df;74101;230566
2022-08-29T16:34:24+03:00;ccd0f66cfd1101c8c6e40d884c82c2dc3ae08b3e;73990;229198
2022-08-29T06:42:19-05:00;06fb26bc0e0b128c1bcc72fa7496a68113b9c14c;73990;229198
2022-06-26T16:03:43+02:00;2bb45ac16becbf932e00bf1c1e658036184d4ba2;73957;228734
2022-06-08T18:21:22+02:00;939f6e13044fc0b2e9fba2ce81e4692091e34235;73925;228702
2022-05-31T11:28:27+02:00;110c4afaf1da8300c0b1e7ca1bd4fae3494f4c1f;73973;228729
2022-05-03T15:09:08+02:00;1850de6535979220dd0eaf2d30af4eb3be675dfb;73958;228711
2022-03-28T08:55:45+02:00;9f9714264a4c94bec14b518377a5cd9ef45166ba;74102;228832
2021-12-23T16:55:21+01:00;1368cea0969be7ea5102306175fa4bcb60af4d1f;73845;228510
2021-09-27T11:53:49+02:00;c24c3be067e494cea1a77d65dee30d6697653e81;72747;227102
2020-12-09T21:41:20+01:00;75303ca71a439f9bcdac9c9cce0158aaa063167f;67335;220592
2020-12-03T17:21:02+01:00;dba01bcc2fa28a3fab07dc9716c701ca7a6449fb;67296;220299
2020-12-02T08:48:00+01:00;3c11f2577cb70611895056aa9e74a32c8ad187ec;67180;220183
2020-09-13T19:32:11+02:00;944b306bd0ac0ad82007898cb9ff7862d856e942;67357;220300
2020-09-05T18:01:23+02:00;28d5bf6bbfd4337dd789fc9ed81ad8a63fdb001f;67351;220294
2020-07-29T18:10:34+02:00;64e60202f2509544619cd23038dbf382c3c4012f;66783;219726
2020-04-29T14:31:57+02:00;34d516552e15b1a67437312afaa068bcb5c5ace0;66156;219050
2020-04-28T17:09:25+02:00;2e536b4f52e8904d65e51f6797ddc31b4ba42cd8;66191;219085
2020-04-20T22:57:05+02:00;36c375a09210636cb62bc4bac2b7c5e12c575375;66059;218954
2020-04-20T16:29:59+02:00;ea1bb8770cc201ece04437ac8cafd60e8c3e36c0;66072;218968
2020-04-15T17:02:06+02:00;9be441da598506940a65a4012c7ea55169a534c6;64577;217473
2020-04-08T17:50:32+02:00;aafa463823deb501a0ad9f01dcd9b9a8bc65880c;64024;216912
2020-03-10T16:24:23+01:00;a6811710a137f5997cacc88593bbd6141007e790;63897;216785
2020-03-09T23:07:26+01:00;3a86c700d802721e97bdeebc58815eb0405fa61f;63897;216757
2020-03-09T21:38:28+01:00;d464a69d055621314ebe45cbda48e1c45ef324b0;63897;216755
2020-03-09T14:53:43+01:00;8a760e626bde3088388a9810b90ec6d6bf735e2f;63897;216747
2020-03-09T06:06:42-05:00;04d80d5a6f05ec23922ada77c7fd707bd268f5ed;63897;216755
2020-03-09T02:57:06-05:00;e37f91e17e77d0103bad9c800a1a75c68e6e14b5;63893;216751
2020-03-04T16:51:22+01:00;dc9e4271c561e2eeca307971ca2992c005856c2d;64106;216942
2020-02-22T11:52:52+01:00;bdc5cf5eb429c41221ae6fa6fd6c7bc0b7c08cf0;63876;216707
2020-02-12T18:39:00+01:00;ba6a644e4c9c8905d18485328dc5ccf497e8785f;63844;216675
2020-02-10T11:13:00+01:00;1be01510f93480ff2fcacea091f86e97220eda6f;63827;216658
2020-01-31T14:17:31+01:00;ddb0154637da93c9e6cfa99c29d2298e5d609d4a;63820;216600
2019-12-10T13:26:36+01:00;1107dbdcd71fd5af369b48f275969858a8a32409;63321;215860
2019-11-15T16:54:54+01:00;0a87a24bd25d72174bcae3506ccd49fe7bc156a6;62389;214825
2019-11-11T10:55:14+01:00;118f2157e9b499a0705c0610f84968493c684acf;62388;214730
2019-11-07T10:03:26+01:00;062f6e1cbfb75bc730d9119ab44c6e879f454474;62899;215207
2019-10-14T15:16:01+02:00;7a280230a66853915ce5c3becb7688182380271b;62122;141577
2019-10-10T19:07:51+02:00;12e3a08dbe824197be11ae54a198568d50a7eafe;62120;141575
2019-09-13T12:13:49+02:00;a452b21e3e95ee0597cdc88a52e77ba906481c00;62133;141588
2019-09-12T13:08:32+02:00;2bb657e430d3f6ce3d80c434e82c3988e996ff6f;62125;141580
2019-09-11T17:09:53+02:00;612d15456ecc56f4c7828fde7a8f95eea3b4ff49;62125;141580
2019-08-16T11:15:38+02:00;fedb782c811d74f4d714f2e78f8e2a1b856729af;61504;140959
2019-07-11T22:46:42+02:00;b12677322aa4e46daed083ea5d1ee50271bc0c98;61256;140707
2019-07-11T17:28:37+02:00;1f840aed571bd9a5e66a5c8cea054158064866d3;61270;140721
2019-07-08T09:17:03+02:00;d72974ff0d4ded0b6917e9135f9f549aafdb1ffc;61174;140625
2019-06-28T14:27:19+02:00;39823e1e1aba5677ff58b6bb3dbdfed2c60fac58;62227;141678
2019-04-16T13:48:04+02:00;35826256e5366c165a86e5ad328b9212fd49ad02;62023;140182
2019-04-15T11:34:52+02:00;bb92cc6b5695753f4bda78efd72304d94a58994f;61898;140057
2019-04-08T22:36:11+02:00;26e4b4b5616766817de8e0ad007d2e6747f40835;55051;133063
2019-04-03T19:23:00+02:00;ed7061797511c062fa16858ea85560eb6fc4b2b4;55051;133063
2019-01-03T11:10:35+01:00;fe84bfa6cf9f6bcd581fb2add13cca8a9e23b883;52573;57680
2019-01-02T07:48:00-06:00;92d441961e4170a505775c7734453a79fe4574ce;52573;57680
2018-12-11T21:18:41+01:00;ac97f09d3d93eb71265236a277562ae09c32f4f1;52562;57669
2018-12-04T16:23:14+01:00;d24201adc77042cf8486052bd15ccb2bbedd6438;52568;57691
2018-11-14T23:16:38+01:00;ebef86e15272708e31aee129aaae32afe7034b61;55193;60299
2018-08-29T11:05:25+02:00;ad04585ff57c36d2d3291f066ce83e3b8db6b091;53993;54093
2018-08-20T20:03:19+02:00;e991b18aeb4cc24ceaeb1f00a3ee2b7fde9859a5;54807;55304
2018-07-19T15:37:45+02:00;64f6b4d7be27ff6e85ef6c67cf574f93ad40bbed;54572;55060
2018-07-19T13:22:25+02:00;fd07a1b8cd527c05b8369d84bdbd604747c8ca2e;54563;55055
2018-06-17T16:59:04+02:00;dbbc3dcb45c8f9fb507012b14740fc76d00e2afc;61465;61888
