Date;Commit Hash;LOC;Total LOC
2015-05-08T23:23:49-07:00;ac655429eeef6b54ce5ebe3fdc5e3a2735d930bd;7414;7523
2015-04-09T13:18:35-07:00;de5da6dfd792a0cc81874783c01b961d425dcc83;7443;7552
2015-04-08T13:28:48-07:00;e2d9c9bc177ac38876e8f825e4014a664a39e3e4;7443;7552
2015-02-25T23:39:33-08:00;9f82d9c89f0bd88feceb1278abb1ff34a13b41a3;7523;7621
2015-02-24T01:00:28-08:00;30e208d0db8492d5a47d4cb99ae82c32d0acb236;7530;7628
2015-02-24T00:36:01-08:00;2ec8662866965fd85b4b7cf53d6de968fc3ee647;7545;7643
2015-02-23T17:55:27-08:00;d9593c6b619b79bc5d0d2ed98883c34260c80a9c;7575;7673
2015-01-14T20:45:53-08:00;3e67677fb55ef1dbee625e805cafda9995ce798c;5852;5950
2014-12-16T16:59:14-08:00;6a1ca68b591eb1e3f707b2ccb6136cae0bd2ec8f;5840;5938
2014-12-15T15:26:27-08:00;1db810dc30b57b1a8cf626f716943e6b506a240f;5825;5923
2014-12-12T23:02:36-08:00;b07858563ca59c3cb25e4c322fcfab16cb911177;5806;5904
2014-12-12T21:58:20-08:00;2cf33a55b9288af668f517f630d6f3f6820e8f66;5817;5915
2014-12-02T13:21:55-08:00;510e2bfac6b5193bc1d35f8c52d742b459f5bba4;5812;5910
2014-11-28T23:18:20-08:00;d73570fecd2dcb756e2d2a14cf2ea2db38df7f58;5812;5909
2014-11-28T18:46:32-08:00;0445f957ea98fac216bc30076db1309ff71dcca5;5823;5920
2014-11-28T01:29:15-08:00;b63bf331d842a445d2adf62b942d6d6ddb87873d;5856;5953
2014-11-27T20:36:03-08:00;c8d6b39c1237fe924970ad81885a1ad4c0303318;5811;5908
2014-11-27T20:34:40-08:00;6009302024fab109b3f9baa2145d8bef9144c26d;5734;5831
2014-11-27T17:29:25-08:00;cdbbeca0c1d3324efbb280aa65277ac3dc88e79c;5734;5830
2014-11-26T11:28:41-08:00;2436e4e4c18fa53a4eb151607b80942ee6e44221;5685;5781
2014-11-25T00:40:27-08:00;22045d193cb604bf3dc6df81917d0ff4b513aa8b;5747;5843
2014-11-24T14:05:39-08:00;56a3009d35cdae2c2c732d03eae0220700eae352;5738;5834
2014-11-24T13:37:27-08:00;f4cc77251138688f569509c69a530fa21dbb3fd3;5732;5828
2014-11-24T13:21:03-08:00;e32fd2bd577c694092651750f295fe3111121676;5669;5765
2014-11-24T13:19:04-08:00;a72f1a104636137c1ba5e1923871f89bfbe126ac;5669;5765
2014-11-24T13:02:28-08:00;aec2ca20f559f38545656dceebba5e81b68755ab;5675;5749
2014-11-24T12:02:58-08:00;b80a8f553a0d47a03726837ccd043ba2e8bec0d0;5636;5710
2014-11-24T11:46:46-08:00;10d3d3680a2060fc9c1de9c6a60681d047fff594;5599;5673
2014-11-24T01:00:43-08:00;5d586b06be8f067e7dc86d86f87ae540106819ca;5620;5694
2014-11-22T21:51:46-08:00;bdf4216d0a827808c7b610c2dd75abaa027e59b5;5490;5564
2014-11-22T18:58:10-08:00;7e61b6a71fa6c8c8c0d00673e029d79a595ac28c;5530;5604
2014-11-20T22:11:23-08:00;87b6a9c0fe526e04fc31ca373942daa22524711e;5739;5813
2014-11-20T10:33:21-08:00;5a7df39f2e6bdbb4fe737f30dff5ea720487d54b;5753;5827
2014-11-19T16:47:46-08:00;56af4cd9ec7cef8154cf0f2e6a59fbbe807ab891;5732;5806
2014-11-16T13:51:57-08:00;09572a5b55970efe19270540c48722587dfaefda;5726;5800
2014-11-12T13:43:48-08:00;6e71f387ca17632a9dc1d209ecb6834b4a82718e;5723;5797
2014-11-10T22:29:12-08:00;58d58dfbc13f570df4a5ff3381048de610b3210b;5725;5799
2014-11-10T18:34:02-08:00;0e17ad73dd9f1e3edd10af2755578ac024c1c131;5725;5799
2014-11-06T13:39:57-08:00;4b8e982442461b1a3b750935f302c91057c31784;5719;5793
2014-10-29T16:09:03-07:00;d59d0d985ecb5c5069205d69338e824dcc75c9da;5737;5811
2014-09-30T02:34:22-07:00;5e9a01379ede30dcd205a0a6f9144f74a7d1ee74;5707;5781
2014-09-30T02:28:15-07:00;5758334528e518809656e27e0fcaf5a2d14a9ebf;5707;5781
2014-09-30T02:20:31-07:00;64dbdfdb31c18d13d01e8d9f6f7cbdfe136b04fc;5707;5781
2014-09-29T16:02:49-07:00;016ba0873f48dc5907e762bacd7615a8e64d7462;5707;5779
2014-09-29T03:19:33-07:00;613b76c1f94df07ec8f80e163738c723156d0c87;5707;5779
2014-09-29T03:09:52-07:00;6cd1ef64e0543cc1c7b5cc6ce620cca65305a0cc;5707;5778
2014-09-29T03:08:27-07:00;9669a7ebdc2f4387d3757d5b6d1f0da2c28439b1;5707;5778
2014-09-29T03:05:40-07:00;e3362a8c897920fdd114ec5ff5770d3108ba28f3;5707;5778
2014-09-29T03:03:11-07:00;2e05b52049a60e372ce3d2e5ae80996e7f68b25d;5707;5778
2014-09-29T02:48:02-07:00;9771bbff3f5b9b65c0ec9373acb7802169d7b3f9;5707;5763
2014-09-29T00:02:33-07:00;0377e7391ebfcf235296fef36d17149ce423ed5e;5707;5746
2014-09-29T00:00:51-07:00;4c0857cb520ff7e5025d561e3ff6f5843387cf31;5700;5739
2014-09-28T22:44:59-07:00;f17694fdcdd432217a0abec4a4822c4ace43e6ad;5618;5657
2014-09-28T22:43:49-07:00;4defbe6e72611d34db24cbca9d88e301df2dff70;5618;5657
2014-09-28T22:40:40-07:00;e7d2f53ab8a51b79996f5550a6c717bfcb11ac19;5618;5657
2014-09-28T22:39:58-07:00;035801d0269ce95ebd7c6cd18e850135ed2d50e1;5618;5657
2014-09-28T22:38:05-07:00;8325fb9e37158be594252f8a07bc250451879752;5618;5657
2014-09-28T22:37:15-07:00;85b0a99606ab0547a52eef51e8b125a71896a94a;5618;5645
2014-09-28T22:29:30-07:00;aea1b5e75ca732d33a8061b9daea2ef31b7a92f2;5618;5645
2014-09-28T22:22:01-07:00;54c12b9a60679635ecbc1c5b608efa3ed517c177;5618;5646
2014-09-28T22:20:33-07:00;5e96d4ec81734e9f6544ab7f972954ca0ef1e043;5618;5646
2014-09-28T22:17:01-07:00;754ab3c1d179262742662c207dc6be555ba0d9f3;5618;5652
2014-09-28T22:05:11-07:00;0ba926ca224f573fe73e534f2a407da39985609f;5618;5625
2014-09-28T22:00:44-07:00;2355ee2a3565e02e306f25efc011226f1f36d0a6;5618;5622
2014-09-28T21:51:01-07:00;d4f378fd31aa70d3ccd28edeafbf03cde640302f;5618;5620
2014-09-26T12:27:13-07:00;9da4f4e2caa90936a0dd0ee0391a24caad3a30ed;5618;5618
2014-09-19T11:39:29-07:00;950311cd6104ec8388837a153aece5c10bf3238f;5588;5588
2014-09-15T12:21:29-07:00;2968001a452022a19fc409956db4810670382b99;4986;4986
2014-09-15T12:08:04-07:00;a3c5e1636372dfc451f857943c15667de6c09f6b;4976;4976
2014-08-26T17:50:51-07:00;5bb537f879944e9c42ffe29d913d094c54e2ad76;4766;4766
2014-08-09T21:30:37-07:00;2f37e52871355004bfdcb878345564eaed28408f;4681;4681
2014-07-30T02:22:16-07:00;0f77ab3f250829354207fbc6c076aad66259e1f3;4768;4768
2014-07-30T01:22:04-07:00;06ada1c67da940bed2a037ac32c92692c96fb22d;4768;4768
2014-07-29T22:05:25-07:00;16669bb2544501f9fab03e89354cab531f8ca4d0;4790;4790
2014-07-23T04:44:24-07:00;b1d4e575e0b2071a34187024b51abd6a40fb1f00;4784;4784
2014-07-18T22:28:15-07:00;acecf7d64bae68eaa2c4d3988deb128da6b9d3f4;4800;4800
2014-07-10T04:18:29-07:00;8d360728d16cbcdf470933dd8d88ee4fb22b42f0;5104;5104
2014-06-30T02:38:15-07:00;281fa9b4cfafbb301e27cc0134430e64183da7f4;4762;4762
2014-06-21T19:34:57-07:00;fefef56370576ddfd9999d55e6bfd2cebae29677;4059;4059
2014-06-20T20:37:22-07:00;c7263d407deaaf8f7f61e2ecbd213a1a3ade4c8c;4068;4068
2014-06-20T20:08:01-07:00;b674e2ff9fa2a5b4f1b19924c7425465390c6d09;4053;4053
2014-06-18T02:12:42-07:00;54ba83092dd7ba20e18ce167054d5cc0b088df55;3813;3813
2014-06-12T23:38:55-07:00;301042941cfae13969d17514d091358f68be962d;3712;3712
2014-06-12T13:47:22-07:00;9bdcc4ed6df6fc52f96d52547c84c600c02f5a43;3465;3465
2014-06-03T22:25:41-07:00;94021e0aeac8e34d1bb3f494a1bdd5895be1eb40;3247;3247
2014-06-03T11:19:46-07:00;070ddd469230b19d4897f05f9c2502905f3934ff;3151;3151
2014-06-02T23:35:08-07:00;bf9e8026a7ba3df342ee5bb89e05c23a99085248;3157;3157
2014-06-02T23:29:12-07:00;9cffa16ec9729f65aed74c47fa97fb22d960be2f;3163;3163
2014-05-27T15:53:45-07:00;3fb352f2fed15cbb04f4d23670bad673f1fff557;3143;3143
2014-05-22T01:56:42-07:00;fde75abb9bb42b3d5ecbeb1e204c185f761b21cb;3075;3075
2014-05-13T23:12:11-07:00;d8a19e095c882c838e0a5eec53817136199caae2;3009;3009
2014-05-09T14:26:23-07:00;d00a7c8b2c61ecbe37056a5a3d648988f4c2c33d;2948;2948
2014-05-09T03:12:47-07:00;834a74737b1c07963c2b2d23af806eee2f0f809a;2998;2998
2014-05-08T12:52:50-07:00;bc97f0ea00119399ab9384d12d3d2c07ca7c6620;2843;2843
2014-05-05T20:37:30-07:00;edacd0393900c0c14b7fa42e347f61ca04a4839b;2695;2695
2014-04-30T16:10:18-07:00;ba9c7b42c7141ac4e8a1cc2c55273e94fc856824;2581;2581
2014-04-29T11:35:49-07:00;e59480ec86d3309cabf71e01e575fbbeb54dca17;2545;2545
2014-04-24T14:46:36-07:00;06f75ec35e29de966d4d496f06877e7cf5e040a8;2504;2504
2014-04-16T20:03:22-07:00;e6c9a8609c4501844456d6b1ac12de16f33a4d66;2451;2451
2014-04-15T23:07:43-07:00;c1dd1644b1abeab2e1b376f7f09e3e4a899789c5;2402;2402
2014-04-15T19:33:56-07:00;e6e62ae8541caef5e327b97d85d18e22acbd69e4;2359;2359
2014-04-08T21:29:24-07:00;e11a72236f741ea4b59ee8eda011c6936416c291;2430;2430
2014-04-08T19:35:47-07:00;08d1c74311c08af93cb7fb471cebed516d993d29;2367;2367
2014-04-01T19:06:33-07:00;40f4378f2c81b6f59621e9ec644764a338ba950f;2287;2287
2014-04-01T12:26:20-07:00;d74d459c93548a2dc311bfb081d2f9268e2e04f7;2284;2284
2014-03-22T15:32:02-07:00;e00a4cbf33a52c404ecc2d41e4eaa9732ad4c678;2129;2129
