Date;Commit Hash;LOC;Total LOC
2016-02-06T22:41:10+01:00;039022b0f59b3f62872339ceddebe08661a41027;281304;281741
2016-02-04T16:50:51-08:00;4f5d586dc74e18fd38d494e893355b9319b6b248;281304;281741
2016-02-05T12:04:51-08:00;e472b19bac45c757ff664610f252caa7990feaeb;281304;281741
2015-04-29T21:42:52-07:00;36952f01ea9d6f696f29fcf538c6368bd2d0f75f;281304;281741
2015-11-25T16:59:23+01:00;0c855f6fac4c330bd464648d92b317fd347eb608;281300;281737
2015-11-25T16:38:41+01:00;a46d077797e052d86592afba0ac6351e6fd68ac3;281300;281737
2015-10-27T19:21:31+01:00;0f8dbe953dbe1f8662ef78c2d3e6a07ef4460d85;281285;281722
2015-10-27T17:44:02+01:00;bf148972a3dc2cd0c83d40ea404eff07aa254e9a;281285;281722
2015-05-16T09:25:58+02:00;f818e94966af08f3050015279c05a52491952479;281280;281717
2015-04-06T14:55:06-07:00;8cf6022ec30cdd7babe6e739f00c8eacfa4a1a58;281280;281717
2015-04-24T18:11:44-07:00;c67ec452d45a258327b4c32c690765e72c8f48b7;281164;281601
2015-04-09T08:30:10+02:00;7cc15e4f481263d7526f5c5a1489c37d6a76cd47;281164;281601
2015-04-08T21:14:14-07:00;3bb48cb48454310af7baaad30838f8a5b84c19d4;281164;281601
2015-03-11T20:01:49+01:00;c09183559d7d530e2bb40cea89b11430f024a8fd;281164;281601
2015-02-12T20:08:40-08:00;2fc1be1e3abb77264f1f5b3db9e749e7576f220c;281154;281591
2015-02-10T18:33:09-08:00;13e32c4d8ed840b28122346051ea9af5842560c0;281154;281591
2015-01-26T14:45:55-08:00;71bd4629b6e11f2314085d5a15cc93f2b5778323;281158;281595
2015-01-26T17:39:52-08:00;784d7ce190d44015d5d068fe0044e2e1f0da2ffc;281160;281597
2015-03-04T13:01:06+01:00;ae84f88cc9786c554fff61e760b437524043d15a;281166;281603
2015-03-04T02:36:21-08:00;4ade8721c1483a54fb87ede21599eecaaaf89c0a;281158;281595
2015-02-27T20:22:23+01:00;b0474e043bce20dee9bf759ba9f8ca47d2cf9705;281164;281601
2015-01-30T23:38:03+01:00;f7cd335d007b4a6653b2497d228b51a936f035b5;281156;281593
2015-01-23T15:38:22-08:00;a412d6654c309ea67a825023f0df3c45a4a6c9b5;281156;281593
2015-01-22T20:40:08-08:00;ee2e448e99f1c0d17e4754480a34f08c7bbac58f;281156;281593
2015-01-21T08:43:34+01:00;580c176f38eccf2e3205bb69bd5eccb3e3415f06;281156;281593
2015-01-20T17:25:55-08:00;a3568c7d404a8c6a834a1a8788e39603f1303fb5;281156;281593
2014-10-13T11:29:11+02:00;96be60c85f9944c4fdbcfc4ed674308525188d29;281156;281593
2014-10-13T11:23:59+02:00;c391b3802847df0a4cf44f8288563fcb9c62dfc5;281164;281601
2014-10-12T19:48:27+02:00;aad86eb25f3d69261d327b71e04eaf97b88c653a;281151;281588
2014-10-11T10:34:26+02:00;3abb9e69dedee04ac2dc82a914d8af7aee84be6c;281120;281557
2014-08-27T09:39:00+02:00;766c14e5acf2f5d014d6a55ef48243f5a0546e85;281068;281505
2014-08-27T09:37:50+02:00;553c39b45ce60a080fdce9a1f1b5ef9de96b873f;281070;281507
2014-08-26T08:43:13+02:00;ef1f52b0c9444d87b84e34211865a760d38780b7;281033;281470
2014-08-25T20:44:19-04:00;dafb0292a09f9d864fec56585dd4cc3cd6466776;281033;281470
2014-08-26T00:52:22+02:00;ff6b7fefcc81c36c85a5929ede9317a415ff149a;281033;281470
2014-08-25T14:08:30-04:00;3c6df0482322ea76020e64bebe60eed9c4fcfb77;281033;281470
2014-08-25T14:07:38-04:00;861b1b444aa92c08c67a1a04016d42d9282c5bf6;281033;281470
2014-08-08T23:40:15+02:00;9b0a176081b930153879eccf0ab8d78155ac6e2e;281042;281479
2014-07-26T14:39:35+02:00;757834ab5ee2f81ff6fd0ce7b71a983a91c94453;281042;281479
2014-05-11T21:40:52+02:00;7cb01af7a21aa46a3c932f08f36188d3bdc80b65;281010;281447
2014-05-11T19:54:02+02:00;2e5f1b3c2ba9fbd3b354c9204c23228196767388;281002;281439
2014-05-11T18:14:25+02:00;1624787d0c1663cef34f27ec749131bf8500f388;280519;280956
2014-04-18T11:22:38+02:00;67eb2011441a93c690b59cecbe692a19734dc27a;277439;277876
2014-04-15T21:45:35+02:00;29cd5d0008bd1a7d0ac30de4504929d13d72a10f;277003;277440
2014-04-15T21:33:25+02:00;c765eeb685f543cd4283488a4bc5ac3abe1269b8;276956;277393
2014-04-11T11:14:25+02:00;92a43aa84ed6d0b1e868e44110f0e84465d976a2;276956;277393
2014-04-10T14:48:02+02:00;94e0680b5157c9b0e0a48f92e875da85a3cd99a8;276956;277393
2014-04-10T13:59:15+02:00;3472d17dd1d0034efdb3471b3fe1697dbce672a0;276956;277393
2014-04-10T13:41:51+02:00;0ec0fae7ff0ba592b869a62b5401469431166029;276948;277385
2014-04-09T20:18:41+02:00;745aa62acbab37bc692a98abd0ff839b4f2df810;276948;277385
2014-04-09T02:25:32+02:00;7460ecadd3b1ed97dc9dca8abc8cd4bea539c5f8;276927;277364
2014-04-08T17:24:53+02:00;c783a882e2ececd6469be042cab1a4bf082b44a4;276936;277373
2014-04-08T15:35:52+02:00;815034fccbc59d7d494abe30aad5ad0531ac6945;276928;277365
2014-03-30T03:00:09+02:00;846b5a39d6f3f005256e498b60312acb59941deb;276849;277286
2014-03-29T23:21:00+01:00;0ddd1e938df5d2ad864f000b2270dfea09a1861c;276828;277265
2014-03-28T17:22:24+01:00;3e7f8696504d64fa25db7d466680db0c2a9328d3;276289;276726
2014-03-27T18:38:23+01:00;07b17c35205ecdfd325e1b4569bd1cd2ad3217bf;276104;276541
2014-03-26T09:27:20+01:00;dc24205ca5b70542a07cdc6a6a6a0056c7493352;276087;276524
2014-03-25T18:23:03+01:00;a3caac0b3bab2facbb4c3b6335a356ef9ce07456;276131;276568
2014-03-25T10:35:34+01:00;1290ba917fd69fb3c902506c5c9a22942acd43ec;256576;257013
2013-11-12T12:48:40+01:00;8c1b0e26b56e625a2ef1b165757709e3964356e9;256576;257013
2013-11-05T11:31:48+01:00;8f98ec97bc0872a35c2f97d3ebc2a9c69e51088a;256063;256500
2013-11-04T23:29:03+01:00;adc12b3003b2ac47408e40ae703016a9c94c52a2;255875;256312
2013-10-25T17:52:48+02:00;b2b1cf4c88d8a7e10252cb9096334c87b7840367;276216;276653
2013-10-25T14:43:55+02:00;0a9f3ab1d93cc6de7fb18c6773511c46789b542f;276186;276623
2013-10-23T19:08:45+02:00;5e2b54d479970b77d8b6bd5c3c9d265876816cda;276185;276622
2013-10-14T00:32:58+02:00;844fea6fe380d4035f5f1a82388d18e98c9e99b7;255747;256184
2013-10-13T08:56:27+02:00;a56353145664c4e13b9735f7abad2e8fcf3840f9;255575;256012
2013-10-13T03:05:59+02:00;626408799646b3e2a803b7e0a80e80da89c0b0f6;255575;256012
2013-10-13T03:03:57+02:00;20f33e06ad4e76ebe21f68769e4febdf7716c24b;255575;256012
2013-10-13T03:01:51+02:00;92eadbd7b3312ed9cfb3ba09696ac88026b5a659;255575;256012
2013-10-12T23:42:56+02:00;3f1fd9fdb7fa97982963a204f8b66dd12aca3426;255527;255964
2013-10-09T09:34:53+02:00;49c131fc8c952b3aba2cb61f92074cb3af300a62;270727;271164
2013-09-25T17:56:28+02:00;13273b25e3f7e01e6e3e0ca59664bfe6dc420c83;270727;271164
2013-09-25T17:09:46+02:00;d5530d0a44b334c73d545d2f9a5137c020958574;270365;270802
2013-09-24T15:40:12+02:00;1ef8953e93f6e7d94f4b60c28c97957699616ee2;249197;249634
2013-09-24T13:30:20+02:00;ebf478785924d8fdee327d78d66ffe154efc427f;249358;249795
2013-09-09T18:39:08+02:00;e1e13b9116e915f7b5e94ac6eb64a3aced308e4b;270144;270581
2013-09-09T18:10:09+02:00;d9937a555fc9d0c3459d484ec4d6f8c1d1cf2003;270172;270609
2013-09-04T17:13:46+02:00;3fddda3ad09ffcaf1af54c2b587485abcc4aeddc;270105;270542
2013-09-04T15:02:05+02:00;736dca56ec817263cbe7660adf8c55f6f6a05de8;268053;268490
2013-09-03T16:10:05+02:00;966a8dad92faf69b111100518ae7ca46d6f8dd40;267647;268084
2013-08-19T18:45:42+02:00;cd2f106eedd5f9f8af11a79e5be7e4b296d16594;267644;268081
2013-08-19T18:43:37+02:00;96db7c42e6b8f74a09ad72311035532ce379f1dc;267581;268018
2013-08-10T11:37:12+02:00;a94eb143ff311e4f799880b4555acb4dd1acba92;266069;266506
2013-08-10T11:35:45+02:00;de97ecd6c9dd4596f008bbbc09e7cc43c0e5742d;261825;262262
2013-08-10T11:26:32+02:00;7a2cdde15b44dd7c3d9910a781061cf08d1afe85;261773;262210
2013-08-10T11:20:18+02:00;3fc980e51b4435b00bfb45388f3a4903d5398c01;261749;262186
2013-08-10T10:54:23+02:00;dbf242defce4a176bc14904760f206f2cd122006;259780;260217
2013-08-10T10:53:15+02:00;32ee1717a04923beb3ecbd39991bcae8ea13f25c;259756;260193
2013-08-10T10:48:16+02:00;86d81068c4803bd07962a62babf48399b787c6d3;259692;260129
2013-07-25T21:31:36+02:00;9b3e04113c902fb91f6473fbdb0dbd8e9e0a2ff6;259707;260144
2013-07-12T10:31:51+02:00;e3282b85a3a4dfd34fff9c0421a25d67afe05786;258844;259281
2013-07-12T10:30:52+02:00;6605b07680293eeb055ad03b3e715343ba1f89a8;258478;258915
2013-07-12T10:26:18+02:00;c42c87a97f9d61a3caa9471e77df143965bf254c;258455;258892
2013-07-10T21:06:32+02:00;d155d8685e7a27e64a5945beb150ef79138eee9e;258453;258890
2013-07-10T08:25:28+02:00;03bbc0730c697322f461458551632d742fa2990d;258455;258892
2013-07-09T18:44:41+02:00;1815b0f0b5661fcb511ca6b78b28c249eddae5d2;257714;258151
2013-07-07T17:10:35+02:00;5694d50113c719711751128ab56bcc622ce8b6f0;257631;258068
2013-07-07T14:57:56+02:00;6ba0ecf0e04fc489567edcda94fef97506cd20dc;257118;257555
