Date;Commit Hash;LOC;Total LOC
2016-07-04T18:21:04+02:00;18995c8c7b8f9c75035b1a95a00379944c6f2b0c;468377;530349
2015-02-13T09:10:26-08:00;69cba1f1502b07bfa231eef456665d5fe2566964;268627;316894
2015-01-22T15:22:08-08:00;5c7243c1e2ad798baa8793197550c2446896ff3c;253078;300845
2014-05-27T15:36:11+02:00;9016c4a20db47114f96147ab8102fead54fed489;176349;190353
2014-04-17T14:25:05+02:00;50ccb7317c25f4f3e5e1d5308301fea84d73e524;163218;176737
2014-04-17T11:54:24+02:00;9f914808d76e33d91b2c7f777809a1bb5b2ec59c;163218;176737
2014-02-06T20:49:17+01:00;f4513d12be82411c2ea290045d1e15a96448d593;138244;142421
2014-02-05T18:09:52+01:00;d0672a3b6ac8cc08549904ab87571b68ed6a9ccd;138179;142356
2014-01-20T12:24:07+01:00;e8194b0d350dc9344c7ac07d4ee218a3dedf4364;135237;139329
2014-01-07T02:59:39-08:00;f3c667f34dfa3f0de8be3c8de90b90ed99fa19dc;134319;138341
2013-12-21T14:45:14-08:00;e067e95710d4b19361bbe59c44eb1115d6541f3f;134316;138333
2013-12-20T05:33:28-08:00;76f4b2b15d0bb95d299459ede5fe6787d1a967a2;134269;138284
2013-12-20T05:32:45-08:00;591086307a851576e62fd0cbcbe804f6c26f5d13;134261;138276
2013-12-13T11:57:40+01:00;761c20a7b7657d5e71eaa17d6845641847385bce;135831;141061
2013-12-12T18:09:22+01:00;7922332797406d982a19288f22ea55fcf746f8e5;134532;139740
2013-12-12T15:18:37+01:00;25c6b89e116825607b16cbbe1af9bf0f89c00645;133410;138599
2013-11-06T11:43:24+01:00;58e88f6e7678417c7b47e470dd35cdf28233d987;125423;129870
2013-10-30T03:18:38-07:00;5278efc0bbb860307dc159aa734260b803857e00;124996;128995
2013-10-24T01:17:49-07:00;c60c7a2f9e715584c798ec2f1ec5a6716fd0eda5;124211;128205
2013-10-23T11:25:40-07:00;dddcac10b8edbf69ae9a4c300ad8a49ee32edfb1;124114;128108
2013-10-23T10:34:36-07:00;b53656b28b7edd1057e5f3b1b021dd9357c6df69;124114;128108
2013-10-19T11:03:02-07:00;03c481ae33ffd6bfda184fbb6e2e8473befc6e4c;124146;128207
2013-10-18T02:39:39-07:00;a572ff80be73dc0e180adab25287155099aaedbe;124063;128068
2013-10-17T12:29:20-07:00;8c46f5e61964eb4940ae3b4f2a24a16ab108385a;123498;127570
2013-10-17T02:33:17-07:00;2bdf901174b5afe87f803e16fc701a43dcc75127;123209;127227
2013-10-16T01:04:03-07:00;314d6ccfe3063f8f4721fea8feedd8681599fda9;123199;127217
2013-10-14T09:17:56-07:00;526a8697ce910d1f19bb0ba46ac0b69e6bb66209;122884;126884
2013-10-12T06:22:41-07:00;e777ee6e04ed449072a3fdd4b07bce9ef2c7c572;122845;126844
2013-10-10T05:19:16-07:00;7fd44a81bbef583098b07a187dde340bfd200dbd;123565;127564
2013-10-06T05:43:57-07:00;717872b5fc0d9a0f56b2805681525822cae2d13a;116828;120116
2013-10-04T10:39:30-07:00;1dbf7ab9e8db8b10c3e88eb9fd7d24e58385d84a;116828;120126
2013-10-04T00:19:59-07:00;eb79774381990f579c7f2a18c8547c891c141fac;116804;120102
2013-10-01T10:01:34-07:00;a6a0a75f159152963b7ad2fdfd712ce0147be741;116789;120087
2013-10-01T09:41:32+02:00;bbfbc4bac3be5349f6ac8a9e33ee691d85226c91;116775;120068
2013-09-30T07:58:55-07:00;14970c9e16b2a2b3869933e24a108164fd95aa21;116771;120002
2013-09-27T11:21:17-07:00;63d45f4182d874c75a4fba4207970ddede37a2ed;116074;119300
2013-09-24T11:20:30-07:00;831975d0892c8c1fa87328c067916e91dca98483;116038;119261
2013-09-23T07:36:36-07:00;cd31327dec2ccafd71c19f873c72d1ee0d1758f9;115991;119139
2013-09-20T09:34:37-07:00;389bb0ceece79f194b1b55b6e0a8b96a94f3d940;115991;119158
2013-09-18T09:48:39-07:00;9ccf70560316583c6c51c985774e84d76b9e4838;115988;119155
2013-09-16T00:29:16-07:00;5dc4dd2cadf53a474f8ae2e4b03b9b332bd2601f;115985;119149
2013-09-13T04:58:17-07:00;601b5ec6cfe5dfe79f63fef4e773b35b8ee6d29f;115984;119148
2013-09-12T14:27:25+02:00;c6209437588bccfbce563e80d1d491a515087a96;115984;119147
2013-09-12T02:35:40-07:00;7c24622ed51278377182cc56aab4fdaf425ebce9;115984;118985
2013-09-10T02:09:55-07:00;1734ec95b67582848e7999942dc12ecc544bca6f;115978;118985
2013-08-15T20:08:47-07:00;d5f86db20220e7491c69202c0ba7fb3660629db9;120942;123836
2013-08-07T22:51:10-07:00;20164ccc45ffa45ff5d8eb12eb4a90b80b6c0833;120627;123521
2013-08-07T22:34:56-07:00;e4a27251c3239657ab74f5442917abb85b2c95f1;120623;123517
2013-07-12T12:07:04-07:00;338e24f3febaf3127e68befbe34e847fccea097e;119050;121962
2013-06-10T19:15:40-07:00;50b39a06fda2a2889dce6a87a49b506752e0e534;117976;120786
2013-05-15T00:37:05+02:00;dd2f43778a81fabc099410c3d0198904046b2b36;116891;119701
2013-05-13T08:12:47-07:00;cf530d389f23d36dfe48a29960ed5af90a0682e3;116561;119434
2013-05-07T13:39:29+02:00;7ef29f35dc87922be194a9a7f442d1a12cdfd92e;116424;119200
2013-04-29T15:09:12+02:00;8dee02d955adbf67257cd5bb16dcb8a9b6aab178;115136;117917
