Date;Commit Hash;LOC;Total LOC
2021-08-15T17:51:49+02:00;2b5bbe33723168066f400170ca795b4c2e9894db;266606;302894
2021-04-22T18:59:19+02:00;0241496a72624aca5f7f6a4f3725accee863d46e;266480;302768
2021-01-22T20:23:59+01:00;4e663f5855112c36bd3f916cc20ffc89cd18491c;266401;302689
2020-10-05T16:29:36+02:00;4af6248a420368932645ee6c413acaff89e46f0e;265815;302058
2020-06-21T13:23:41+02:00;abd78b096280b4d90c0f2ff80db672b43befe3ce;265615;301857
2020-03-14T12:42:50+01:00;74397504fdad8b46d439fa8b60137e9cbdc73585;261094;297195
2019-12-15T23:01:08+09:00;d36accf844c37a1194aae9d1c9204f17f58010fa;260711;296815
2019-09-05T02:35:48+09:00;6c2271c14d96b90d95e73a4f0e6769ed298bb5e0;260628;296667
2019-06-06T14:26:43+02:00;06165410f54c1c82ee82903906c6497cd535ce83;258618;294563
2019-03-08T15:03:32+01:00;00ddea3d79633e1a519535d11eaf84bc75d5ec42;257993;293952
2018-12-02T21:05:25+01:00;18bcf868d5029b9899cf82776915b296fe7b1d48;257721;293663
2018-08-28T12:59:54+02:00;f08de78cbf7469e2c405ea50840bb2201b1c5184;257336;293257
2018-05-30T14:21:21+02:00;a621a3124fae49cbc5a29719a13b34a0f46b4c40;255039;290918
2018-02-28T20:36:44+01:00;0299ac1de147c68460206105c29dc0ef8c7fce5c;252547;288368
2017-11-26T09:25:39+01:00;fa1c29905c8a8178a13d3475764bcc0181303773;252055;287872
2017-08-28T13:29:47+02:00;0346c9e8236ef967537ea9d19b255306a240ae60;252008;287804
2017-05-30T16:09:34+02:00;e8d50fc334a6c8bbae573aeb7b4c956b09d91c1a;251272;286807
2017-03-01T08:53:41+00:00;8c75223d39e5a707256466e31a13fafb4b50570e;250302;285788
2016-11-30T07:37:24+00:00;ca855ff397d82de3bd613ab8e5bc94150a4c9db9;234118;269605
2016-08-29T09:46:12+00:00;c112fa46d251979caa27e687748cf02b9537e261;229287;265046
2016-05-27T14:21:32+00:00;57e7d13a6f6ecc1ce511f90984f4f841d4666de7;228231;263889
2016-02-22T14:56:48+00:00;fbe472cb127ab28f80380382e9ad1b625044344b;226302;261876
2015-11-23T12:30:00+00:00;064e1affa7790ca7e8cea77ffbcef57df787c5e0;226676;261880
2015-08-20T23:36:13+00:00;1febf2e7db0962da228a4e9a70b58bf8d79942f3;225641;260743
2015-05-22T18:41:32+00:00;e0763abde42966b940e5ef89344e533e219a9733;224874;259931
2015-02-20T15:56:51+00:00;a1936f061fd25243b07a0c12f7afa00e9bcdcc0f;241733;272986
2014-11-20T06:58:20+00:00;b50d950755122587dd1c5e1e4130c9604ab402ef;240889;272137
2014-08-21T12:07:45+00:00;15a2ce3281ab3d54770ceb1e0236e2fec8e8bee9;239675;270734
