Date;Commit Hash;LOC;Total LOC
2023-12-11T21:04:27+01:00;24f9c47d2512fd3cfcb57e10a04d5eba55798b0c;27559;35305
2020-09-03T15:06:30+02:00;b8cc7479f2b8668733c2dd0986b2e986f2d19609;27490;35149
2020-05-29T16:44:54+02:00;8617d342e1c9da4ae7f65e8997a2647480e93900;27481;35140
2020-04-08T21:20:27+02:00;4cc9ed1d79b91472e2b9865520d57fa1761b19e8;27481;35140
2020-03-19T16:47:28+01:00;523bbf2e62e841527e4268d086ef9fec72cf568c;27523;35182
2019-05-15T14:18:10+02:00;159b3a6ba1d4d543f2865f2780b3df76aacb5133;27630;35277
2019-02-19T11:10:35+01:00;0e54b108ada86b23f65d676680fb265bb95babdf;27630;35277
2019-01-28T15:19:02+01:00;b4b526bde98481c2144c50cb4d11b084ae8e2d74;27630;35277
2019-01-10T14:24:59+01:00;5a8b8159982fec71fe05268b12bed63986ff7b66;27633;35213
2018-12-20T19:03:29+01:00;a41be8e371a25b4b52fbd2e39874914f81ecca5d;27631;35211
2018-11-19T20:47:15+01:00;de3df2f098e706885c2b0c842a5ea7f6ed3d82f8;27779;35348
2018-10-10T18:27:53+02:00;542a88964acb9177f1fea14eebaa84a8acf5b1e1;27554;35070
2018-09-25T16:56:23+02:00;c5d4915752a6e1e7bedce286ab83933593b1bf63;27595;35111
2018-07-24T11:53:56+00:00;965be2d1aa20a78efe1ca4d33f03b2573d3f2afb;27748;35262
2018-07-06T14:39:42+02:00;6b50a5809d352bc63295dcb1be944a63e6ddc22e;27586;35103
2018-06-20T14:16:50+02:00;c99988726ffb306fc44af2d4273ef1b33b34197f;27742;35256
2018-05-15T12:23:04+02:00;7cb52d511cda688a34553bc6ac40a2a3a4bc2c5b;27742;35250
2018-04-13T13:44:54+02:00;de7d0b86b3ef3c73145054506b90cb14e818aee2;27666;35174
2018-03-29T20:59:21+02:00;a61cf55b3d1090b6e5555dbeb7d09dbb5f2c7514;27725;35233
2018-03-13T17:33:27+01:00;3c0d5d2f67182828bdc7c7b9f9cfcb5c22440c9a;27529;35037
2018-02-23T13:30:56+01:00;656ea8c55fd36e8688a8459dfc9cdaf1c5d2f443;27232;34705
2018-02-07T13:51:52+01:00;58f4622712a0b6bc2f9b6fbe242a3641f09c6b8c;27252;34725
2018-01-23T17:39:58+01:00;78d46bb10449c27b4c508bd965f579823976c778;27368;34841
2018-01-08T14:47:13+01:00;9937a9dc71d793e2eb979fe9072bb3c7d469d47b;27285;34758
2017-12-22T17:10:13+01:00;840f2717f8495e4efef0621c8f785cdb9e09a34c;27285;34758
2017-12-04T16:48:22+01:00;dace750c8b3fc666a064173de2ed73d342dc77c6;27267;34740
2017-10-30T18:13:54+01:00;27697f87f9e7a7cf1f114893a6428c542e7967d9;27259;34732
2017-09-20T09:05:25+02:00;ba949d18bb9778f670ffc9602689ba51ee55b1ea;27123;34596
2017-08-10T06:49:49+00:00;5cea83bd0c94cbcdf8af6a55b17d8a78ec80cc5d;27123;34596
2017-07-26T13:23:19+02:00;44524ae464a1d04dab02f9e198617256445d8ba7;27123;34592
2017-07-07T14:13:23+02:00;334092f9d284ef3365f6d468f0923cd3c9831241;27123;34592
2017-06-13T09:46:18+02:00;155a7c5bef5bfed7599f2d958049c61d45a2a5a4;27123;34592
2017-05-19T12:53:31+00:00;5d208ad0d7b25928ad388f1202cb3392c13df065;27116;34585
2017-04-10T17:16:41+09:00;c4b1aaad0ac3da6ee6faf426124c408069c9a909;27116;34585
2017-03-22T16:47:09+01:00;b52cd94086ab8faef03091f5cf5be4f8b1f92d7f;26695;34160
2017-03-07T22:00:57+01:00;169929dedf9439856bee2500af22c690515acdee;26254;33696
2017-02-20T13:41:29+01:00;ed40752b7f88c84936f3f504bffcc441c0b4778a;26240;33678
2017-02-03T13:45:35+01:00;a00fefee2433baea79a00f7df6af857b23571da4;26230;33680
2017-01-18T21:30:54+09:00;b840a51abf335d1be7d32e0ba8456484e18b3325;25568;33020
2016-12-21T14:05:18+00:00;5e034b1c01f1b7cd74e36436446ce0efdf0de864;25567;33019
2016-12-06T10:52:52+01:00;97fd762bf47d9804ee4bcfcbb954e9f3c89985b3;25374;32810
2016-11-17T16:22:05+01:00;66796a81fbdf55c6c88259bfe23ca620b1f6881d;25217;32645
2016-11-02T12:54:28+01:00;0f9c298a86265ea6d91395c407c8d3296de5ead2;25180;32610
2016-10-18T17:10:14+02:00;cc2d615a1ccdf906b8472dcdf49c624246399c25;24508;31969
2016-09-30T10:38:52+02:00;580c933e867a6947499e98541c02a497dc227327;24094;31474
2016-09-14T16:00:55+02:00;cf91ded712cede5f30f67ab0f255662958854cd5;24282;31664
2016-08-21T13:40:59+02:00;57c9d6984a7b704079112c3a281ddea4ef04675b;24297;31679
2016-08-05T10:43:22+02:00;5e9c0e29b40687f509d641de19ecee99059498a9;23882;31205
2016-07-21T17:44:47+02:00;bdc6f5ce1114fbd62a83e6dc691e2cdf3e80450e;23586;30903
2016-06-30T18:08:39+02:00;51c572d13ce14aec08d4b4ecd7a8836a44d7ff7e;23346;30629
2016-06-15T17:03:28+02:00;22fef2c1eef884cf4a44520f13dcdf899821dfc8;19410;26678
2016-05-31T15:14:52+02:00;fe0fac54634a1d600620ab618c49eeee4ded172f;19326;26639
2016-05-10T17:39:36+02:00;1d23b14c75fef44d45a7e7dc31fdb14d062b68eb;19054;26367
2016-04-25T21:41:02+02:00;acce86ed47ae18a6962b4c186667843fbb87844d;35954;43271
2016-04-08T14:38:01+02:00;41b9f16bffba42be6d3d1eb1cd21e254469c7963;35145;42459
2016-03-19T16:44:42+01:00;7e911be1b3eae8dbd2dbda6256ac244b6ec7e3fe;34980;42236
2016-03-04T10:34:55+01:00;5622f152f06399c22648f71fa829cf278b5fcaee;34404;41658
2016-02-17T18:11:49+01:00;cb5e1e833c83621e0babcd1edd65894a6fa320ca;34016;41274
2016-02-02T13:40:04+01:00;74376e0330711270daef62b91624500565033016;33838;41086
2016-01-18T16:34:36+01:00;aea98592ae0197040ae0c023e3d8c0a741754789;33896;41144
2015-12-19T17:59:21+01:00;a20be4849e7e7418e6ba69151ad59f6c0dde61bb;33519;40761
