Date;Commit Hash;LOC;Total LOC
2019-01-02T12:58:14-08:00;6461c89f217f63482e2468d776bb942067f8288c;46094;130132
2014-08-14T22:54:40-07:00;4e01e38591f708c845caf9c8f831a3846aa9af3a;46087;130122
2014-05-07T16:19:01-04:00;7ec0343b763b49358c2a26145c37dd67f5967dcd;46072;130110
2014-04-20T19:05:38-07:00;b1ce95e13b1c5eec5af7b2def9dc8c343e8a2892;46069;130107
2014-03-18T10:11:02-07:00;f42261e4021e202680110133f1e29ba8cee042bc;46059;130092
2014-02-27T15:56:49-08:00;c61f296ad8a22ae27b0299735121786d4002792c;45974;130007
2013-11-19T16:40:37+02:00;a9b355fd20ecff3b4f522c66eaeec89df3d80762;45718;129750
2013-11-18T23:18:21+02:00;34b925d08ca65c0823542915f8f9df3f9b025168;45725;129757
2013-11-14T09:08:30+00:00;83ce469f5a86850d6ae444d959c94cfc3fceb95b;45669;129701
2013-11-13T12:28:11+02:00;d188e9f8c5cc9197cd9a73c5ff8d352632542749;45358;129390
2013-11-01T12:01:14-07:00;151d7189e358bbce644654d0971f7d10b14f128e;45263;129295
2013-10-22T00:41:43-07:00;0c8c36a396a917eee323d2279d7d12d1c0455d90;45197;129219
2013-10-21T23:06:14-07:00;47916e55c97d3aeee211859704490b20d352f56b;45172;129193
2013-10-21T23:05:53-07:00;23664ddff097861e32e8d3ba7cc39bf17f524388;45170;129191
2013-10-08T13:27:19-07:00;367e5bc5a87447b9f69389f0f2c533b177d5d540;45050;129071
2013-10-08T08:30:09-07:00;202e22c6752bde0e6ca5f760a3f331f93de2758d;44589;128610
2013-09-19T21:02:42-07:00;75283f6f0e58aaafaba560e94b22d1c7f2e5255a;44548;128569
2013-08-12T10:34:17-07:00;a05a699fe5a0a4514b42f690bce8910032f63429;44424;128445
2013-08-05T12:34:12-07:00;b0038e6b0cf912d161468a2790374ee28564655e;43740;127759
2013-08-05T11:28:36-07:00;50448a42f012a1e25d72ef7b8746701ebdbcf6cf;43687;127706
2013-05-23T17:44:27+03:00;248e59547ea2a52982c07e9918664d7d4054734e;42969;126923
2013-03-31T16:30:52-04:00;3ff320daee3d501b34d7e3d64154b924e8151c53;42085;126039
2013-03-29T14:16:08-04:00;ba2eff98ea2f467eb9ca163b8143fe9adadc7700;42081;126035
2013-03-14T12:56:04-04:00;b3c4f423b94683894862534417c2932113ca4730;41662;125616
2013-03-07T12:29:27-05:00;1eff8a1b1de107e0bc8fd50face5f276a1c02035;41657;125611
2013-02-06T12:15:42-05:00;64d9826f3d4648b1921d4959478f9efceb3315c8;41386;125340
2013-02-05T01:57:01-05:00;b4d1f68008d815a0dcb6190801c712f8d4e69ec8;41368;125322
2013-02-03T22:34:36-08:00;c066e8830059f266c680cc3301f9bc479b70dae1;41454;125408
2013-02-03T18:44:48-05:00;c10130c9174324f54b9a45ff1c314ee187809f14;41447;125401
2013-01-22T15:08:56-05:00;3451937bfa78d27880f45f858a8dc4bf2ec05b3f;40839;124793
2013-01-22T11:38:01-05:00;336471bd3eb1ad306173c1a9b416c441c72ec7db;40834;124788
