Date;Commit Hash;LOC;Total LOC
2020-12-16T15:44:22+01:00;240d2d8a15d17400d73abafe3f46b834712de3e0;85291;87279
2020-12-16T15:23:59+01:00;d6e0dc38408a69ab5f4ba38256c0bd80a882fe8a;85291;87265
2020-12-16T15:22:45+01:00;32000c3fe9eb99c4f0f52afb9d1517fe125fecd5;85291;87265
2020-04-26T13:04:39+02:00;ab704d763e419284ae72371fe596989a33f999b6;85291;87265
2020-04-26T12:56:54+02:00;14fb2654a7fda5a816c584e13eb2d4c063bd9bfc;85291;87265
2020-04-26T12:26:54+02:00;02d2979e930a76f87f7de7f8be2f6ee7a77714c8;85291;87265
2018-10-16T20:48:40+02:00;900c161b59dea9f68f4542155ca2b77a4e9e2d86;84716;86690
2018-10-01T18:25:32+02:00;afc45c476c19467932dbe5fbe6138db6dcaba7c8;84711;86685
2018-07-25T20:05:11+02:00;b88740c6b483fb70f696d07750e69857a1960694;84711;86685
2018-06-13T11:19:40+02:00;bb21b5b52c55b7364933db1b098fe0686c3aa851;84656;86630
2018-03-01T13:35:01+01:00;f0946687e8990e404bb567e0eabb70d51ab12a58;84660;86634
2018-01-22T22:37:51+01:00;d69a716b126348b866b449e3fdb0778600cd0a71;84658;86632
2018-01-22T14:54:38+01:00;c486361f2b476c958a893d09aaa4819a1e844a56;84657;86631
2017-03-05T17:54:40+01:00;fb58deb30b75f6e3192c7d812482577401e98059;84697;86671
2017-03-05T17:52:39+01:00;49ef22421941b9f64523d282bbe60770719e5460;84697;86671
2016-12-15T07:32:26+01:00;48df7e55727a1e09e0f7e36749599acf2e43fc6e;84697;86671
2016-11-17T11:58:59+01:00;cef3b89c85be0ee1103bf9e236af5f0392e99467;84722;86696
2016-11-17T11:56:16+01:00;6ea135d2ccb074bf80e038a531f7134dfa82472d;84722;86696
2016-11-16T22:40:15+01:00;a641fa74defbae131f264c2d8b939a82ff552673;84951;86925
2016-07-11T20:39:09+02:00;c02a4c6825bc6b7bf0055790aafc3cfa5149f0c2;57778;59349
2016-07-07T23:03:29+02:00;a71e36ca9ac77893dc80d513e0f9a942d0f3e715;57774;59345
2016-05-30T10:49:16+02:00;800b41fb9546c120a32ffeeb04748861bedb3408;57774;59345
2016-05-30T10:48:42+02:00;747f98bf123783c7bd112d29ae92efb3872d3032;57774;59345
2016-05-30T10:47:46+02:00;78c1790f8da85173256b6cbbeed2aaf41bf6e651;57774;59345
2016-05-30T10:46:55+02:00;81acf511d88c32adcbe6a8fea75496b31776571d;57774;59345
2016-04-20T14:16:44+02:00;b9c885f0a8b105b97da94f76ef94b06d24adb1f8;57774;59345
2016-04-20T14:11:04+02:00;a075b4bd6d6325102864cd95144925bc88d7b6dc;57774;59345
2016-02-24T14:34:52+01:00;292bbb27fe2f9eda058d9e32d2aa38d7336ebbe7;57772;59343
2016-02-24T14:30:20+01:00;78fa420f9c67802bc7345f3be4b4f4927ae4590f;57761;59332
2016-02-11T17:43:31+01:00;7515a4960149e9351dee4fc0fadc19a8a8b29ba2;57755;59326
2016-02-11T17:37:59+01:00;2fcf83b0dc3d0af74def4f28c397596259c269c7;57755;59326
2016-01-14T07:35:46+01:00;459dcd0de805c59d55fbd8e708fa76c039c5ad7d;57755;59326
2015-12-18T22:29:00+01:00;dbc049b8c5c599406e41bad0e7e36dcf6aa2b9ec;57665;59236
2015-12-18T22:28:50+01:00;bb5113156c9f9c383ed7fceed874d6cc05d91973;57665;57671
2015-12-01T12:30:59+01:00;2ac8f6aaa85ce0e9dfa365e0a61bc01a427e5534;57665;57671
2015-12-01T09:57:45+01:00;163c566d78b97ec58e46fd2e5f887eadb146f7b5;57664;57670
2015-11-29T20:00:00+01:00;d1866b6ddad47a6df082bdbd7ec0a4581e419921;57664;57670
2015-11-28T13:45:13+01:00;e659c04e4938edd01a2944963f70c806d2bcffb5;57664;57670
2015-11-27T12:25:29+01:00;d95cc7d517e57b463b4cda07eb122262b131bc1b;57667;57673
2015-11-23T23:15:32+01:00;7b8c2e3031d3453a36f7431a8df2275e61abb610;57667;57673
2015-11-23T15:56:33+01:00;66c57e5f4cbbb94e2e51aa596ed33a6b2715b2fe;57667;57673
2015-10-15T22:52:36+02:00;cf0f112771e65df0712b3d0605b66233ba56720d;41688;41694
2015-09-11T15:03:54+02:00;82709956913997683b317bd1d0a41b0384ae255f;41692;41698
2015-09-11T14:57:38+02:00;8cc503a8a5033b42bf55752c6955352379a0be01;41692;41698
2015-09-11T14:57:13+02:00;a455faaee7b364f5d91a06dbc8adaf7e73dfa3fb;41666;41672
2015-08-07T00:33:20+02:00;0b2e273bd60a4f88e1d079c4bac8120a65312312;41692;41698
2015-08-06T15:04:51+02:00;dd2b5a62b5b2823453b509c0806f42602de7041a;41688;41694
2015-08-04T14:16:58+02:00;135851200a952354d0bfa1415d37432714cfb110;41676;41682
2015-06-27T14:20:09+02:00;bef88ef1acc7f3c9ec37be801f39dd215a27df4f;41676;41682
2015-06-27T01:45:37+02:00;ce7193ba4861eb4b28da3328f8110978e169f98b;41721;41727
2015-06-23T21:22:57+02:00;6003f91c4447effa983294590532c8cceb90107c;41667;41673
2015-03-04T20:36:07+01:00;7ec1434f9a178f61c03d0dd9265236e58a947c4c;41667;41673
2015-02-20T01:07:28+01:00;c1e21ff1551824153162106cc84a246b6b85f0fd;41667;41673
2015-02-03T00:32:45+01:00;393dfa8c4ca9015ad343eedbcec0639b7b0e8ecf;41667;41673
2014-12-09T23:11:36+01:00;350919b046531c1459b8027a2642e5153d6d7fa3;41667;41673
2014-12-09T23:08:42+01:00;35a59415a7b3f3295e3e6f7f2445a583e0cb1cf5;41667;41673
2014-11-21T22:29:04+01:00;f551a785c8a641e9d2916a68b7ab65c29e88035e;41666;41672
2014-11-12T13:23:14+01:00;c8a4fb3386c7cf962a697829e267c04f1b632142;41666;41672
2014-11-12T13:22:43+01:00;57929b37befda2c2a8ef4ce21164f27657dc3c8d;41666;41672
2014-09-24T23:58:23+02:00;12af53c491c3184fc5eb29f5eee45e3fa78b4df1;41667;41673
2014-10-31T15:48:10+01:00;17c8a68c0225bc880ccdda7ec0d2c0cd473dfdbb;41667;41673
2014-10-31T15:48:10+01:00;55fe2bba3093e759eaf9b7a0054053d953992265;41667;41673
2014-10-31T15:48:10+01:00;c84c35a8da713ee51c06971c0b5afaf121bae01a;41667;41673
2014-10-31T15:44:54+01:00;b2ddfda7c39deb033f9a1aed32103dfd97cb4cc7;5061;5067
