Date;Commit Hash;LOC;Total LOC
2021-04-20T15:41:53+02:00;c62cd072479efac8d850b85fc9e426e75fafd344;28590;52338
2021-04-17T16:36:42+02:00;7fa160700c56c81420368278b65861073259b0ef;27619;29772
2021-03-24T15:14:57+01:00;ddec44f2017db5cd716c494aacfdefd8ac8b3c04;27619;29771
2021-03-24T11:26:05+01:00;342cd5fcec07f0dc7d42410b2fce0319850dcad7;26014;28163
2021-03-24T10:40:50+01:00;99aec49850a590fc236734b130f8033c06e9fbdf;26002;28150
2021-03-17T11:28:49+01:00;442c271a5492b03df5d35232346fbe6c436c1cf6;25839;27984
2021-03-16T15:41:11+01:00;8070fad1263f3574ceaeac8c358d91a6c4b3cdf9;25835;27979
2021-03-16T15:31:18+01:00;13627f374421cc44394ea929105b2cb7801e8aac;25817;27960
2021-03-16T15:01:40+01:00;af8a4bb2e020c9171147ab46f4e9ed3c47ee5dfe;25747;27888
2021-03-16T12:57:13+01:00;61558870ec24005bfa8ff151ec9e24211018eedf;25681;27821
2021-03-16T11:53:13+01:00;2f69e2e22d0c1988878a160722c408b31f93500e;25681;27819
2021-03-11T18:29:47+01:00;ebaf73c55d8f32042f492706e422b92dec28f5ef;25681;27818
2021-03-11T17:11:26+01:00;34c356b686611cb65572ffb8c020380097f6107a;25681;27817
2021-03-01T15:28:42+01:00;45d920be66ccbb3f6047ee0c3f9bc6271fad5c3c;25607;27741
2021-02-26T15:05:07+01:00;38ef4a95957956769be1a00de0d9b219fc5dc8c7;25607;27726
2021-02-17T09:21:53+01:00;a85de50b9311f641f2b5fbb36dc5ccb89462f767;24045;26154
2021-02-11T12:54:52+01:00;5ad02fa6a189fe808e0778fd9cc7f3ac3f6ea033;24045;26154
2021-02-11T11:28:58+01:00;717e16813f1c5f736d409d2e1f52760b3cd59354;24045;26154
2021-02-11T11:02:50+01:00;379aae93847ef09a2dcb3c003e1503be3c59ab39;23949;26057
2021-02-11T10:11:19+01:00;e90c837784f8931b235e7c605847e46feb773e9e;23907;26014
2021-02-11T10:01:42+01:00;eeef6eecbe000f7ed36d8b24aea2087f54b8e7bd;23907;26014
2021-02-11T08:59:11+01:00;9454e01e8bc0393291d5d82344c505e591ccfff0;23908;26015
2021-02-09T17:46:27+01:00;6c732fa340363a3dd1c325fa9724d6f4ba40c8f4;23659;25765
2021-02-04T14:58:50+01:00;e3fea8a35b81e58c5617b05ec00e731eba703e8c;23659;25765
2021-02-01T16:15:38+01:00;e26f9462789f5789951bca970829d76401440d1b;23659;25747
2021-01-26T13:15:23+01:00;2d1b846bc48ab9a5ac4f23377ebf8309c57ddde9;23659;25744
2021-01-11T12:20:57+01:00;9638e384f52c9bade75590963b9d57e080692da4;23658;25742
2020-12-11T11:31:52+01:00;ad145c8e91979a7fadf0848f600f0f9599f363b2;23616;25698
2020-12-10T12:41:05+01:00;8805a7903fa7fd3044f1a3a3b135ebe8f6d4c5d3;23614;25694
2020-12-04T15:11:30+01:00;6a10e948c69218c63d55ab237a9248f0c9092b63;23614;25688
2020-11-18T10:22:45+01:00;0c9c7635757074beada2d34c0c1a98dc8967584f;23544;25617
2020-11-17T15:43:46+01:00;debeaf72c5a1ec6b8c2781507c3fb928cb119f68;23238;25309
2020-11-17T10:09:39+01:00;170592a88733894e4f56e562ea1c03944b0db771;22834;24904
2020-11-13T12:02:37+01:00;017ab4de977f9e5527db3241b36605b05bbcf420;22838;24907
2020-10-26T21:35:53+01:00;894236f67c5e78eb47f31f18621a58b337916350;22838;24903
2020-10-26T16:30:23+01:00;bb078fa77a9595fdb43b0de68abcf9e2d53be7fd;22807;24869
2020-10-26T15:53:15+01:00;dc6caa3d97a77660609b372bf80edcac2ac02a16;22705;24766
2020-10-19T10:23:26+02:00;5cd2b42004b1d59df84caad69f916e56eda98165;22196;24256
2020-10-13T09:56:15+02:00;bc99e60a9ba13129a0fea393af7c31da741a1f9e;22326;24385
2020-09-25T13:09:04+02:00;668e35d663175add15c21089072679ba85223aac;22235;24286
2020-09-22T16:46:26+02:00;587db9ba3f312c874486254f450a7c769b6e9a1e;22234;24282
2020-09-22T15:37:50+02:00;f2e6b2d8688b4a4a0c7c3d6d1a584068382770d8;22245;24292
2020-09-22T14:23:40+02:00;a9efe0369eacb18b113e29f82b68d0fa0397d76d;22160;24204
2020-09-22T11:30:21+02:00;6c490d77af647c98cf4ed87131bb11aebf32cec1;21739;23794
2020-09-22T11:05:57+02:00;7cee8f03b2c05322b6f681cce85ea3f316bbb0ba;21693;23747
2020-09-21T16:06:15+02:00;223fe27640cee49b835854525b0eaccb2fe8953a;21642;23695
2020-09-08T09:11:21+02:00;720a8789ad82c5eb7db61dba51bd8005154743e6;21645;23697
