Date;Commit Hash;LOC;Total LOC
2017-06-06T23:47:23+03:00;5a7c7f0a09ee0e9fd3df04d01b4adfbcfe767140;1848;2465
2017-06-06T23:35:22+03:00;321c7a0e5ff28d67f9175a4b4771b0fab9489077;1743;2360
2016-12-06T11:04:15+03:00;8e4d1f0f2ff4ab833659b183e97ea66860ec63ad;1747;2364
2016-11-30T13:33:15+03:00;942fb3e33899e741aedf7d7aea8f9b3fdf7e5a08;1731;2350
2016-11-29T17:18:02+03:00;a759218d1db817b4a53a9828b878d905d9edd4c4;1722;2341
2016-11-29T16:55:14+03:00;b71390cf8fbc6e5c943eb01518473939081d3afb;1722;2340
2016-11-29T14:29:39+03:00;fc4bb59f46bc10fdfd0523a2bd34beae1b015443;1703;2300
2016-11-20T16:53:31+03:00;a0d1d5870eaad5d151273680fe28627bafe2b656;1803;2390
2016-10-05T10:57:46+03:00;03afca456276d99b12790a5295ad75db304263ae;1698;2285
2016-10-05T10:56:58+03:00;82709077ac7096921e87b6351161ba7798bcbdc3;1698;2285
2016-09-29T14:03:24+03:00;eb983f298beb0b5771827706c8da5bfc78d8d19a;1698;2285
2016-09-28T12:14:20+03:00;bf23b16180847ac53c64c2cf70a9ca8cecccaa4d;1698;2285
2016-09-28T11:58:27+03:00;35b80d9dbabc3b79e14479813a8d2d3edaa4c76b;1698;2285
2016-09-28T11:47:32+03:00;8c693176cdcd9624ca2f0f5318f0caf06cab16ef;1698;2285
2016-09-28T11:46:31+03:00;47935965c4a7e61f0118bdc40a89194d25659076;1690;2277
2016-09-27T14:30:10+03:00;b360b6dc4fbc2ec0c738e7434a19fdc31ba9f527;1690;2277
2016-09-25T11:38:01+03:00;b4e8c2a22ad681eefad9d2dc57a2cd4a4da462d7;0;2
