Date;Commit Hash;LOC;Total LOC
2020-07-31T12:40:54+02:00;b6f9e9ed4b6a8d7b08f7fdacd4672baa1efc6b54;33442;35680
2020-07-30T08:20:20+02:00;6f66b023001ec58ca795a5004e6788fc25803173;33409;35647
2020-07-27T10:10:02+02:00;dd94604581087b1defc60cae703cd3702e29af9f;33409;35647
2020-07-21T11:45:00+02:00;92ab0a88108bee1c68a3e6796ff9284e8418f161;33406;35644
2020-05-14T00:24:04+02:00;b3ec40ff82cccdc7c1dc8c865f440344074cadc1;33104;35331
2020-03-31T14:11:19+02:00;1ce4345c67606bab25fffdf863fb422e8f77e574;33095;35314
2020-03-31T13:15:48+02:00;f37ca8fd1bffeb8f300964d9d0164ca560a8de16;33095;35314
2019-07-19T09:05:30+02:00;2aaaae31cb8b44329e4fca7d3a58625ff3eedfe2;37264;38882
2019-05-03T13:02:22+02:00;94a76a6e1ba3aed70db4443e427812a6f9742c5c;37264;38566
2018-04-25T23:36:31+02:00;0a244550e12e84369d8dd6d54aad08ac487b7b83;34314;35395
2018-03-26T13:41:50+02:00;59e3f1b3ab1bbd35cc175c59108285216c6dd7d9;32576;33557
2018-02-22T07:42:45+01:00;78d693bb83150fc508edbb8e996a9216b79f7c66;33098;34079
2018-02-19T09:49:07+01:00;dfe89479cb829f408f6e0beda4d9767a304b38ba;33165;34142
2017-04-23T20:50:34+02:00;aabbe0709d823b3cd3f6ae27dc287b64f7d078ae;27426;28129
2017-01-11T14:38:00+01:00;8309c7a51362761aa160e15710117a7f5eaff83e;25955;26563
2016-10-22T12:25:00+02:00;440ac3fade6894b7892c0d8bd506b06996418abe;25970;26576
2016-10-12T14:39:07+02:00;7745b6546e2515e9ced72686ea0ab1e280fe0f4a;26053;26647
2016-09-13T14:46:29+02:00;b32e04d886c8901e0e5ef1bd0303267bcbe93e2c;24759;24947
2016-09-12T16:33:44+02:00;93a81bddf616a984bdc20e63f3b9d467043a09d0;26183;26371
2016-09-08T09:37:36+02:00;984fa632499d44dda7e414ada407474f756b8cb7;26886;32276
2016-08-24T14:41:49+02:00;4355fc3db388209816aabd54e8baaa9b1b92fab3;28912;34302
2016-07-04T14:45:58+02:00;2de2a8b94fc54b12bef26c83600fc36f10c32827;26463;31853
2016-07-04T11:02:57+02:00;c1bec66b5dc44a9130116226a34b7692642544fc;26472;31862
2016-07-01T10:36:35+02:00;c66563e4874eee7e0601b2c066f46fc555612e9a;26522;31912
2016-06-15T12:55:38+02:00;ecd0a73b8bb1f5623d02ddc5d945abf98f5d23fe;25984;31374
2016-03-08T09:06:59+01:00;726f49fea3721594dfdeef1066080cbf9a734e9a;23140;28530
2016-03-01T16:43:47+01:00;9a67777bce90d55d4b172782b2b4d8aaad078c43;22637;28027
2016-01-27T16:16:23+01:00;e54ac761d975b979f178e016845746f5822f1b2c;20633;26023
2015-12-11T09:12:17+01:00;74aba302ed1cb6880accc40b725ec3a364727bd1;20628;26018
2015-07-01T15:56:51+02:00;8ac9532e4f1ee6b91e6af53918cbf98480bb8511;16736;22126
2015-05-11T17:18:29+02:00;d8ba73044a660efa52a83c1f7e8f75f9ec5db847;15528;20918
2015-05-06T15:21:16+02:00;3ba80164134dfbaefef29af1689aa6fb3987faf4;148611;173692
2015-03-16T22:18:31+01:00;73f5add5e463e29d64d020a981c7a1dd2e1b04ae;148547;173628
2015-03-03T09:19:44+01:00;3f846700278a8c555166d956d8b57bbce69c66ce;148388;173469
2014-10-10T16:02:23+02:00;edfd27cd81c95d6642624240976101557b9479b6;146843;171924
2014-09-16T10:06:55+02:00;d4bdb3591656b71f48e7bb637b9b3797fcd3fecf;145680;170761
2014-06-02T09:18:52+02:00;7300082f235cb89c1845522f483c58e0644e5d22;11467;17122
2014-05-23T10:54:55+02:00;418aedc710256b41687c3edfe8641cdb3599c824;11206;16861
2014-05-12T11:37:11+02:00;e70c6bd6e666bf32a45d402efe8dc7e630364784;10663;16318
2014-04-03T13:11:54+02:00;5c084ac1927e5876b1059354026d5ed1bd96e3bb;10391;15781
2014-03-14T14:17:36+01:00;cf59b34fbc67b299a4fde4e543c354ba79f5ad71;9847;15237
2014-02-13T18:12:25+01:00;17324b4b39eeb706caf4a30768c3c4fe16bdc783;8312;13700
2014-02-12T18:06:32+01:00;fe70053bc75eeb8d404f9d810c680c355ccf24b5;8222;13610
2014-02-12T14:04:36+01:00;0e88a51f7f025e0859bc8edeb983ca34d71b87ef;8177;13565
2014-02-12T13:19:42+01:00;8ea912159dd9a0cb2cdca5e69bcc97553aa51a9f;8020;13408
2013-11-22T10:05:55+01:00;506e55041a5f3fa02b7237386edef0ad5f57bbf9;629;629
2013-11-22T09:05:43+00:00;d0d7679fc1e671695436e7a081e5ee33d2481cd2;744;744
2013-11-22T08:57:45+00:00;ab0cfe3b8afd665ce7ac0699e3411aaefe61ea8f;629;629
2013-11-22T08:33:34+00:00;2b31425fe0849d75dc2d84fd5b5d065107f6c1f4;629;629
2013-11-20T08:22:49+00:00;5b8a247ac50bee45ac0d16f075dac49357a98182;726;726
