Date;Commit Hash;LOC;Total LOC
2023-06-29T13:29:35+02:00;1a1f32e1f0a489387447855a8ec835091040e109;150643;185582
2023-06-29T11:46:46+02:00;516ba3156254be34f12e4891068380185fb9679a;150643;185539
2023-06-29T11:46:01+02:00;a839f0ed8bc65b119c3ca5f34dbc51cf42579968;150599;185495
2023-06-28T12:00:43+02:00;a281c3dc6819281843d78c7c04b01c0cc8b50ff6;150442;185338
2023-06-28T11:43:33+02:00;fb8265ba965ccac1937b22883d757a5914861d29;150442;185338
2023-06-28T10:57:58+02:00;46947601f4be485d860a255a5c000407a5010868;150328;185224
2023-06-28T10:10:50+02:00;379d50733dd5e10623ab22021b020deae92c57b0;150306;185202
2023-06-28T10:03:05+02:00;6c2a396b3b7b382aa1827be6f7c2e6f399e812c7;150256;185152
2023-06-28T09:57:39+02:00;a8e00196a3a4a87cd4ca5749171c7fa9da42d058;150226;185122
2023-06-28T09:53:47+02:00;446ece82149481e1e3897284c05cde6666456017;150178;185074
2023-06-28T09:43:24+02:00;2d71b8b746e9b82774fc6fda7d3ede549206091c;150178;185074
2023-06-28T09:25:21+02:00;2d2517a2b7591351accd6ecc785bbdd15d858996;150182;185078
2023-06-28T08:37:59+02:00;222055d05e4954f55e50cacfcb0b81acf7657921;150175;185071
2023-06-27T14:23:51+02:00;54faff3766cfd31a07986751236652f27ba58708;150175;185058
2023-06-27T13:49:26+02:00;10b88a2060c08844de9d600c75d4b760fe544a22;150175;185058
2023-06-23T14:49:02+02:00;fa9eb7f38e6d0659e8e00352df9e81d91350d03f;150175;185047
2023-06-22T15:39:21+02:00;be9b573e7c846873fe77afae2adbb0a36d0fdef3;150175;185046
2023-06-22T13:56:27+02:00;c5e506c61a74a4a599760a3ea351b4268fe0a6d1;150175;185046
2023-06-22T09:43:14+02:00;228756c83e9e98baab298cde429bab9c0fb2740b;150152;185023
2023-06-22T09:42:26+02:00;2bde63d693af11bf8c2ef1313b37d2825eefd1e8;150152;185021
2023-06-21T22:08:07+02:00;6d381612cb10dfb564c0acf82e87386800e51159;150152;185300
2023-06-19T12:16:48+02:00;7ee5765d94657d78b5711d4f9143a60a74bda0cf;150147;185295
2023-06-19T11:25:03+02:00;0a65cc450d4e4abe8cee9a4c1ce943c6f3e49160;150189;185337
2023-06-14T13:43:43+02:00;c7ccba5503f4d1a34fedd81c6df8ca273e8015b2;150189;185337
2023-06-14T13:12:35+02:00;8f20b190f55e5202d8841427aaca17c323ce8e2d;150177;185331
2023-06-08T10:06:10+02:00;d6a2d3b505ba95d1df38fa67531709d0b6c2e9e1;149716;184856
2023-06-07T15:02:11+02:00;4631814a127335a95a8ddc40302809989a299a70;149716;184856
2023-06-05T12:05:14+02:00;e933cfeb58b14b55cce199beac026621e31abf42;149716;184855
2023-06-02T14:57:04+02:00;99c366b39865f5cfe71c7af50871765bec77d55e;149715;184853
2023-06-02T14:29:48+02:00;3f7400f8724a946873e6695e626629f571d34e55;149720;184858
2023-06-02T14:25:46+02:00;256e43540bedba5aca9c95affe0962fd6b94c70c;149701;184839
2023-06-01T13:04:03+02:00;3086b0fcbef098a86ac81c4523ba71667884d694;149701;184850
2023-05-31T13:10:15+02:00;236e1670160aaedaaf55ea0c8cccee185032695b;149701;184850
