Date;Commit Hash;LOC;Total LOC
2018-11-14T17:26:12+01:00;70f19e41c8184fdc59b6117f399500a5e49cb7ee;63911;72737
2017-02-10T14:23:26+01:00;0a80a8c55993948f7f2f6c2c5a51ff45b403045b;63918;72744
2016-08-04T09:10:14+02:00;78dd7ec6e72d7d6ef1209e594fc08e3759af5099;63882;72708
2016-07-21T17:41:11+02:00;f3b5d5c106688f08462a5397c8166fcda4131396;63882;72708
2016-07-21T17:40:43+02:00;90fc4ee56e2db6d1245a5f4eda4dc0575d925663;63879;72705
2016-04-25T09:15:18+02:00;5b9663e6b769748f3b3d3a9a779b4b89e24d7a27;63879;72705
2016-03-22T10:38:55+01:00;052d8b31f26e77cea290d72da0b1e358f53a54dd;63872;72698
2015-12-11T15:02:11+01:00;1babe452214b4613a2a488d80073f4185c05a0b3;63871;72697
2015-12-11T13:39:49+01:00;104451763d53869b9ca1ae9838c9dfa3cfe2c123;61782;70608
2015-03-29T11:25:07+02:00;2340046a42efb960eacbe45d46152dc7725b0dcd;61770;70596
2015-03-13T13:23:55+01:00;069ca9d0489ff764f7d99a00c977fd923bcdcee2;61731;70557
2015-01-12T06:51:54+01:00;5d56ca815f7d71384391a8e9c18ed65c164cffdf;59275;68102
2014-11-14T16:33:21+01:00;d7e248886c56e9ec5643437777947411b9c379c0;54850;63677
2014-10-29T19:19:45+01:00;cfdece80de3ea91e4ef54fdb51f972e991d13e1a;53976;62803
2014-09-25T10:25:18+02:00;36ce6251521e95b895864774ca55a7f3f6fcebbb;50823;59645
2014-06-20T00:12:29+02:00;1c9020f343d8052ee261a36b8f1dd5b6819c15bb;46949;55767
2013-11-20T16:50:31+01:00;03e621ec20b3c36baed7a46ab8c27f0b1db25442;45596;54863
2013-11-19T15:49:49+01:00;6cb1425d1cdb638bf7a2b392b3c38f570b37dc3c;45576;54843
2013-10-17T18:13:20+02:00;d82ac8b2f260d42c51531471297c9d0018dbb19f;44832;54056
2013-10-09T14:29:17+02:00;b4f1c8e08739d861328d976623bd154855e7e7db;43612;52836
2013-10-05T14:27:04+02:00;9a79bee4a9b9762db7a0fbf4613e20a98d10a32e;43523;52747
2011-09-08T17:58:12+00:00;e72d0e2e63d94d5f97b8e3ffc547c1fd7d2f81b5;42147;71561
2011-05-26T11:11:31+00:00;14ec3c5bcbdcd50dc24649653cecc70cd035db5e;35694;65107
2009-12-10T10:13:26+00:00;a29556dc4032b7babbfc963e3f52b6b1da37ee71;33703;62030
2009-12-10T09:49:05+00:00;43ce26217bd17cf7860febfa900efc661020562a;33703;62030
2009-12-09T21:04:57+00:00;02319bd21c54abf703572bfbf943b3b06ef6ec84;33703;62030
2009-03-31T13:32:45+00:00;95cd75156ccf454f30c46995560c2e2b1a1213dd;30935;59172
2009-03-17T07:46:28+00:00;7e2def43a45d44f78a0774a84413bbf52ea5aac9;30812;59049
2008-12-09T14:03:51+00:00;434af714c77aeec005970612a25d70fc7e67b1a8;29865;58102
2008-08-04T14:01:03+00:00;947c6c00b9ed4a592fab0928a878e150eb64f14d;30128;58365
2008-04-16T17:48:58+00:00;077cf393688d691fab9ff5d24569c249f05cdc74;28236;56428
2008-03-28T11:44:50+00:00;bf685225d7e72e3adf32dda55ef0f963dfbdf8ef;28350;56662
2007-07-17T17:40:45+00:00;870a0087c0260f90762a4cae61f7833e2d5edd3e;27207;55427
2007-02-23T13:51:29+00:00;901b7728b939f3df8c08dcd7c5659bd98c229fe3;27044;34158
2007-01-16T15:07:18+00:00;2ec0967741e3bea2b87e2d6b49899e2b7260a40c;26628;33742
2006-07-19T09:41:43+00:00;722df2ba62243b366c3a72f5491f7f02a7107227;25099;32095
