Date;Commit Hash;LOC;Total LOC
2018-10-18T17:13:22+02:00;55b8b1f2da587c96f38f572299d01f4ff44af351;419237;474189
2018-02-02T17:33:52+01:00;584ae4fbff8312cfe31b3e0aea651edfb1b580ef;419237;474189
2018-02-02T13:03:05+01:00;e165bafd1d817ac2e8c75f1868b659aaa30290e2;419232;474184
2017-05-24T11:37:15+02:00;a0691b9d05eb1ee56f513a5642f745231d77798b;409892;464686
2017-02-20T13:14:32+01:00;d80e19a20e8de488d235cf9d611f5e20eb7fc131;409892;464686
2017-02-17T13:44:39+01:00;0916547ce4f54f4200e6d91502fb4afb6f0d9756;409892;464673
2017-02-15T16:53:25+01:00;c16542da02eb28dcfe01c255138dd3f19a0d72f7;409891;464672
2017-02-12T13:49:09+01:00;c9c7f7ca7098d5aa8757eb836f67cc03d8050c96;409887;464668
2017-02-11T02:13:30+01:00;3858f7847e728283ce82dc5acdd99560a59be9d4;409840;464593
2017-02-10T23:13:38+01:00;1e494828efaa37f595a5d25a5791cc66a093dec7;409840;464593
2017-02-10T23:12:46+01:00;0d84beed2874e650f1314996d2878fdf350243f6;409824;464577
2017-02-10T15:53:06+01:00;9e84f341c3c3ffab738f8783cfffa49eab6e288b;409823;464566
2017-02-07T16:11:44+01:00;4b9fe6208bc56da32ccd58efe0f1de1883a2f265;409800;464543
2017-02-07T14:33:06+01:00;97e89d19fdc101ef9bbd7d022a3e3ba2aa5a106f;409800;464540
2017-02-07T12:07:20+01:00;94da9d8b70828c326f7f10d58832cf8290b88333;409799;464539
2017-01-19T12:10:47+01:00;b2f527510f871abda0b9849d5e3b53ba6b97c7ef;409795;464535
2017-01-17T13:23:49+01:00;170213465daa0414013bfc061213a3af6842a359;409794;464534
2017-01-16T18:27:22+01:00;03715b54ca01d109f779c93e1a25ff1a790c72f3;409794;464534
2017-01-16T18:20:11+01:00;72f6c0d50c3301490a5fc3327e99a9cb5e09124b;409794;464534
2017-01-16T18:17:31+01:00;e96ad1d36a71593ce6fc0153e7a4f4defe9e913a;409792;464532
2016-12-14T10:21:35+01:00;7df884b6a3b5222f0a8389a6a3b394a5d7bcc68a;409843;464576
2016-12-13T15:37:33+01:00;966da62f2ba61867359cad18f4db2dbaf431243e;409839;464572
2016-07-18T12:18:58+02:00;f1ec3e8f9e91b8c6bb7c02cdaef1fe7577f94a19;391378;442552
2016-07-13T13:06:00+02:00;8b3e168871940a272ae1783ddd9207d3d98f2618;391378;442552
2016-06-29T13:13:26+02:00;37faf773fd6c1a925a06e37d3fb30ae848b5ca2d;385766;425546
