Date;Commit Hash;LOC;Total LOC
2014-02-24T16:58:57-08:00;d8d190efd2d08c3894b20f6814b10f9ca2157309;64775;80338
2014-01-28T21:30:20-08:00;f8c742ce274fbae2a9e616d4c97469b6a22069bb;63470;77886
2014-01-27T17:08:35-08:00;84670f2715392859624df290c1b52eb4ed4a9cb1;63451;77867
2014-01-27T16:27:01-08:00;3d5c03e2305777b8a32f2e196e3b73ab221b3e79;63432;77841
2014-01-27T14:24:06-08:00;f16c21e22f706b268419fefce44e9905db3ee485;63432;77841
2014-01-25T22:41:30-08:00;c40619d4873f36ffb96a2e6292b32d5b64eab153;63429;77838
2014-01-25T22:36:07-08:00;c66a2ef1c2dc9c218069b3ce8c39a49e5b92fc16;63413;77822
2014-01-23T20:53:18-08:00;05be7047744c88e64e7e6bd973f9bcfacd00da5f;63397;77806
2014-01-23T19:47:00-08:00;3d6e75419330d27435becfdf8cfb0b6d20d56cf8;63392;77801
2014-01-23T19:11:59-08:00;c3196171f3dffde6c9e67e3d35c398a01fbba846;63384;77793
2014-01-23T19:08:34-08:00;cad3002fead89d3c9a8de4fa989e88f367bc0b05;63507;77916
2014-01-23T11:14:15-08:00;fad6aacfb0a2ac3766417e4a0e3933277ce99d98;63480;77889
2014-01-23T10:48:26-08:00;a2b47dae66a437f02bc053e9bde5c1472cff0fc6;63461;77870
2014-01-22T19:37:29-08:00;a1cd185122602c96fb8ae16c0b506702283bf6e2;63457;77866
2014-01-22T18:58:02-08:00;034dce2a7e0537836e15b9bfecc333b28fc76a6a;63457;77866
2014-01-22T15:45:04-08:00;3184facdc5b1e9ded89133f9b1e4985c9ac78c55;63445;77854
2014-01-22T14:32:59-08:00;a1238bb5fcab763d32c729ea7ed99cb3c05c896f;63442;77846
2014-01-22T14:10:07-08:00;576c4a4c502ccca5fcd6b3552dd93cc2f3c50666;63442;77846
2014-01-22T14:05:48-08:00;5bcfd798117e8617e604c1dd3b5c9b67e83100bb;63442;77846
2014-01-22T14:01:30-08:00;d009b17d137edf2f1b9da04254e55fb7455faa3d;63442;77846
2014-01-21T14:53:49-08:00;749f842827c7e7766a342b6b0a437803044a9f90;63213;77579
2014-01-21T10:49:54-08:00;f8544981a6d05687fa950639cb1eb3c31e9b6bf5;63213;77579
2014-01-21T00:09:42-08:00;77b986f6616e6f7e0be9e46bb355829686f9845b;63266;77632
2014-01-20T23:34:35-08:00;c67d3d8beb101fff2ea6397b759dd1bfdf9fcfa5;63250;77621
2014-01-20T22:35:45-08:00;6b4eed779bd1889543ac2c058745bd0864f02b2a;63244;77615
2014-01-20T22:25:50-08:00;0367981d47761cdccd8a44fc6fe803079979c5e3;63239;77610
2014-01-20T21:44:29-08:00;7373ffb5e794d3163d3f8d1801836c891e0d6cca;63222;77593
2014-01-19T11:33:11-08:00;792d9084e2bc9f778a00a56fa7dcfe4084153aea;63222;77593
2014-01-19T10:29:54-08:00;256a3553c447db0865ea8807a8fdbccb66a97b28;63220;77591
2014-01-18T16:29:23-08:00;fe8a3546f40394466a41fc750cb60f6fc73d8bbb;63223;77594
2014-01-18T16:23:56-08:00;73dfd42fba5e526cc57e2a2ed78be323b63cb8fa;63223;77594
2014-01-18T16:21:43-08:00;4c16f79ce45a68ee613a3d565b0e8676b724f867;63222;77593
2014-01-18T12:49:21-08:00;aa981e4e97a11dbd5a4d012bfbdb395982968372;63205;77594
2014-01-16T23:18:15-08:00;d749d472b37448edb322bc7208a3db925c9a4fc2;63205;77594
2014-01-16T23:17:30-08:00;d4fd89e3c88ea67c755597db2710e99ac7113073;63205;77594
2014-01-15T23:47:25-08:00;c06a307ca22901839df00d25fe623f6faa6af17e;63129;77518
2014-01-15T20:15:29-08:00;84595ea3e25d2f9578b3de34704da14eb02330fa;63118;77507
2014-01-15T16:09:03-08:00;0675ca50f3d66afaa12ea2ec4159930f101413d5;63135;77524
2014-01-15T14:25:45-08:00;4f0c361b0e140f5f6879f019b2e1a16c683c705c;63135;77525
2014-01-15T13:55:14-08:00;59f475c79fc8fd6d3485e4d0adf6768b6a9225a4;63135;77524
2014-01-15T13:54:45-08:00;2a05403a7ced4ecf6084c96f582ee3a24f3cc874;63134;77523
2014-01-15T11:15:07-08:00;5fecd2516dc8de28b76fe6e0fbdca7922cc28d1c;63129;77518
2014-01-15T10:00:50-08:00;494d3c077496735e6ebca3217de4f0cc6b6419f2;63129;77519
2014-01-15T10:06:17-06:00;cef2af9c7dceb5679c11adefb05705d897e55406;63160;77608
2014-01-14T23:17:05-08:00;3d9e66d92ada4fa93dd0bd78cb4c80f8169e6393;63425;77873
2014-01-14T23:07:55-08:00;139c24ef08e6ffb090975c9808a2cba304eb79e0;63425;77873
2014-01-14T22:50:36-08:00;087487e90e4d6269d7a027f7cb718120f6c10505;63386;77834
2014-01-14T21:52:50-08:00;3a386e238984c48a6ac07974b92647beae1199b3;63390;77838
2014-01-14T21:51:06-08:00;ad294db326f57beb98f9734e2b4c45d9da1a4c89;63390;77772
2014-01-14T14:59:13-08:00;74b46acdc57293c103ab5dd5af931d0d0e32c0ed;63390;77767
2014-01-14T14:53:24-08:00;193a0757c87b717e3b6b4f005ecdbb56b04ad9b4;63390;77767
2014-01-14T14:52:24-08:00;d601a76d1fdd25b95020b2e32bacde583cf6aa50;63390;77761
2014-01-14T13:28:44-08:00;2ce23a55a3c4033873bb262919d89e5afabb9134;63383;77754
2014-01-14T09:44:43-08:00;3fcc68bfa5e9ef4b7abfd5051b6847a833e1ad2f;63379;77750
2014-01-14T01:18:34-08:00;fa75e5e1c50da7d1e6c6f41c2d6d591c1e8a025f;63379;77742
2014-01-14T00:05:37-08:00;980250b1ee0cdba9cf06ea87c790a2d504bbf03e;63379;77742
2014-01-13T23:26:44-08:00;055be5c6940a82e2d7fa39f968a434643a1eb1e2;63410;77770
2014-01-13T23:08:26-08:00;fdaabdc67387524ffb84354f87985f48bd31cf60;63410;77770
2014-01-13T22:58:38-08:00;4a805aff5e381752afb2bfd579af908d623743ed;63272;77622
2014-01-13T22:56:12-08:00;945fe7a37ea3189b5a9f8a74e5c2fa9c1088ebfc;59607;73080
2014-01-13T22:54:13-08:00;68641bce612d9a4c4adc34d4dd9cab6735f28335;59579;73045
2014-01-13T22:32:21-08:00;0ca0d4d657f4db519187cc27546104b38c38917f;59574;73040
2014-01-13T22:29:03-08:00;08b9fec93d00ff0ebb49af4d9ac72d2806eded02;59488;72954
2014-01-13T20:45:22-08:00;b07bc02a00881822d2cb350f20dca31ddbeed54b;59455;72921
2014-01-13T19:45:26-08:00;a2fee38ee054c7dd6ff5f5d72f036fef54194d53;59455;72921
2014-01-13T16:24:30-08:00;01c0d72b322544665c51a9066b870fd723dbd3d2;59461;72927
2014-01-13T12:18:05-08:00;b93f9d42f21f03163734ef97b2871db945e166da;59461;72927
2014-01-12T22:35:14-08:00;e6ed13f255d70de422711b979447690cdab7423b;59429;72895
2014-01-12T21:31:43-08:00;0b96d85c2063bd2864b5753496551c6cf2f9047a;59466;72932
2014-01-12T21:31:04-08:00;0ab505a29e21b5a03928e0bbd3950f6f8e08ae32;59466;72932
2014-01-12T20:04:21-08:00;405bfe86ef9c3021358d2ac89192857478861fe0;59468;72934
2014-01-12T19:49:36-08:00;28a6b0cdbc75d58e36b1da3dcf257c61e44b0f7a;59205;72671
2014-01-12T17:01:13-08:00;074f50232fd8d8cf05eb88db0ac6f03f61452810;59192;72658
2014-01-12T16:55:11-08:00;82e2b92c6dfebc2f570dbef366696c150548be55;59192;72658
2014-01-11T21:53:19-08:00;288a878999848adb130041d1e40c14bfc879cec6;59187;72653
2014-01-11T18:07:13-08:00;dbc11df4113a61d56431d5122c9b6554c33951cc;59188;72654
2014-01-11T17:12:06-08:00;409866b35150193a8adf10010fa4ee2d1736f495;59188;72654
2014-01-11T12:48:26-08:00;6510f04e4dd99163acdc15ba5fc2bcbd8ff5d338;59188;72654
2014-01-11T12:07:55-08:00;ee6e7f9b8cc56985787546882fba291cf9ad7667;59187;72653
2014-01-11T09:46:48-08:00;4216178d5e81fad911b69e75f5a272e63d3d208a;59136;72602
2014-01-10T23:25:15-08:00;92ad18b00e9c6a667723b93b9d2139248de333b4;59136;72602
2014-01-10T23:23:21-08:00;0b5ce7af17c96fcfbefe8e2fb750e171bbd9163a;59136;72602
2014-01-10T18:53:03-08:00;1d7bef0c91abe053570e006917185d3b4ae19b0e;59136;72602
2014-01-10T17:51:50-08:00;44d6a8e3d803e6d6b78044a4060c54558f90ef57;59136;72602
2014-01-10T17:14:22-08:00;88faa30a4225948d4359cf2775aa15d9146bcbfa;59136;72602
2014-01-10T16:25:44-08:00;f26553102c1995acf2a2ba6b502de4f2dbbd73b3;59128;72594
2014-01-10T16:25:01-08:00;d37408f39ca3fd94f45b50a65f919f4d7007a533;58908;72374
2014-01-10T15:32:19-08:00;0eaf01c5ed856c9aeb60c0841c3be9305c6da174;58215;71662
2014-01-10T15:34:15-06:00;7cef8435d7b6b43a33e8be684c769412186ad6ac;58195;71642
2014-01-10T12:47:46-08:00;7b58f116e5a028336e25a26daae5852c95e56340;58172;71610
2014-01-09T23:58:49-08:00;0ebc97305a0e23a9d2183c335998c800c5d865b7;58172;71610
2014-01-09T23:38:03-08:00;dd03cea02a55746ae7e753f00ef00fc50ecaad46;58172;71610
2014-01-09T22:22:20-08:00;997c830e0b09e8be5000368f0d3e3c4516854bca;58172;71610
2014-01-09T20:29:51-08:00;300eaa994c399a0c991c1e39b4dd864a7aa4bdc6;58148;71586
2014-01-09T19:03:55-08:00;4b074fac054848ebd3397a3cce0a3e7871d3860c;58150;71587
2014-01-09T18:46:46-08:00;a9d533333da63160c5b7507705b1b6e9c3dbf71e;58129;71566
2014-01-09T18:37:52-08:00;d86a85e9cac09bd909a356de9181bd282c905e72;58128;71565
2014-01-09T17:16:34-08:00;26cdb5f68a83e904e3e9a114790c729ca2eb3040;57195;70586
2014-01-09T15:31:30-08:00;12f414ed43c54db706c8bc3e71f9b84465314ac2;57195;70586
2014-01-09T00:56:16-08:00;365cac94652cd012bf3783f74eed98c95b884bbb;57196;70587
2014-01-09T00:32:19-08:00;73c724e1237db383737a9d37c1c8d697064ec28e;57195;70586
2014-01-08T23:19:28-08:00;dceedb466032eca38f943cb97a8dca27496ca914;57205;70596
