Date;Commit Hash;LOC;Total LOC
2019-10-17T07:04:06+02:00;f7e4d057bd4ac8c515516085dbd72e65fe8a0e2d;57055;58887
2019-01-04T11:10:10+01:00;9953d59b46e3c64e86d7e24c95c6cf7d4fe8fd3a;57471;59273
2018-09-27T23:10:25+02:00;29326f278fd5277358fb7748f8a40dc67ff6958f;57596;59398
2018-09-27T18:11:13+02:00;7689144323eab5b0053df4c2f3802fd0444892a2;57407;59209
2018-05-27T08:22:02+02:00;e0cc6e5aaa35065d2013e9fa06ed9425605a6b68;58641;60443
2018-05-15T15:23:56+02:00;4d663bd5732c1fb012e9859933c89c9bc3f334b6;64633;66434
2018-05-15T14:57:40+02:00;3cc446342008b37073384c03f762fd3a41891a33;64633;66434
2018-05-15T13:59:20+02:00;0efc65ac6bdbd0cfdaf75efb915a94ca7c60d2e6;64387;66188
2017-12-22T13:02:14+01:00;76ebe7f20e2b1ce0eac46e874b3515a36acec372;64141;65942
2017-12-17T19:46:14+01:00;4839661ce28baf8e3530a7da1f08fab29ea9f95c;63756;65553
2017-12-14T11:26:41+01:00;53cf90dc18622391a1352e57fa92b55f52584fd7;63571;65368
2017-11-23T22:11:33+01:00;aedb7306aba917e51fefb7211403ba5c2cdd2911;63026;64827
2017-10-23T23:51:41+02:00;c7a884dc9bc1565377d30131bb630c22a93dff08;62263;64063
2017-10-23T16:39:35+02:00;d6aa1cf8275c60266de00a8ec3a8d858793d51f9;62260;64060
2017-10-10T15:03:41+02:00;a42816a8ee03bb96d911efd7cb4981143ebb7984;61392;63192
2017-10-10T14:15:07+02:00;262d2b6083cb5353e11a7aa58795dda85b8c9638;61597;63397
2017-10-10T14:14:32+02:00;c97488f6a34e06bd244c8443cb2e4bb3c4791c29;61587;63387
2017-10-10T14:13:45+02:00;eecd7353c049ae87abdb3474989c0071ba4ece84;61555;63355
2017-10-10T14:13:10+02:00;81cce15f055430c6f2a076127255ebcf34376def;61530;63330
2017-10-10T14:12:18+02:00;05be051d55c99d823d1d665d5607e69c2ed0c5d9;61516;63316
2017-10-10T14:12:01+02:00;8d258da481425954673d940905019a88a177e08d;61558;63358
2017-10-09T19:51:58+02:00;ffce419faae751b9703dfff9e9602246fd93d828;61555;63355
2017-05-31T14:43:56+02:00;bdcd2aa70fd41d161ef4f989a3d5381b39df1bc8;61543;63333
2017-05-18T17:59:40+02:00;9b89d93678557e942bc9975a7f47362705b93b52;61449;63239
2017-05-12T16:29:54+02:00;e9d95640fb97a934ac193febc90a09f1f0f108fc;59310;61098
2017-05-11T17:04:50+02:00;535ad9f161ab5cae3f06725201f56997c1d042bf;59010;60798
2017-05-10T14:25:57+02:00;16a6ad55a4a0cfa1a9822dd349b3bc696cd0ae36;62714;64501
2017-05-10T14:25:42+02:00;b3f79e6a24a5d8c98efe15e03230d6bd993ea0c0;62714;64501
2017-05-10T13:39:01+02:00;eb98700580e73cc718b1455bcf0bc22457e57d22;62714;64501
2017-05-10T13:20:48+02:00;5b46ba66492fb169fccd9a9b32a8d4b5172837e8;62714;64501
2017-03-21T15:53:47+01:00;3a72c0659845ae9a8d53cecfea06cc10b7680dc8;62266;64053
2017-03-21T13:49:04+01:00;908283d7cd6d30f04db7f47373a8105f72574a7f;62261;64048
2017-03-20T08:27:31+01:00;c40004ea2987825b411822d8c79fe994e1e96518;62261;64048
2017-02-10T11:40:11+01:00;75757839e352879f8f7ebcc4ce43a6d2fc32f080;62215;63995
2017-01-31T12:53:42+00:00;e438721ad2e96654d97a53c89038d4fcde1794c8;59147;60927
2017-01-31T12:52:47+00:00;30fa4312c9e1f8ec495d77ea4eaaf3aa02ffec5e;58627;60407
2017-01-31T10:31:33+01:00;918d85021bbc57e7144c53f882c118a2b6fbb517;58644;60424
2016-11-23T18:33:04+01:00;2774e074af2294793962ad4fe5ed38b5f36e3039;58177;59923
2016-11-11T14:57:23+01:00;b75201e3404cb6c5f315e945318b90af80f321c9;58174;59920
2016-10-27T23:45:27+02:00;1e54055fcf5fd6d6a48b79f0635b4b90e9765bd2;57758;59504
2016-10-21T17:04:05+02:00;cf28ed951250a4859529efc54eba139377f247fc;56318;58068
2016-10-20T16:50:35+02:00;79ca2a8f44425b533396ed86db2c02b385743b8e;56053;57803
2016-10-20T12:48:39+02:00;39dd4801c44c43635a3b634c48d8d11b299c8524;56282;58032
2016-10-11T17:00:41+02:00;aa07b8916fd17543564f440ebe1013311501e1c7;56279;57547
2016-10-11T11:51:33+02:00;3fd83c20029a364d8c9515e0e546a162d26c0538;56279;57547
2016-09-23T12:50:42+02:00;40df09371cee9524143db06e1ada6c9a07bc0f88;56203;57525
