Date;Commit Hash;LOC;Total LOC
2024-04-23T15:59:06+08:00;326437e6c8a6497b1a38d002b1d28e74678a07aa;509379;2003013
2024-02-23T11:39:26-05:00;c0d7f7fc54f6c67f409e75f20ebb4420d96c71a6;506571;1993464
2024-01-28T11:51:51+01:00;6ebd5aa33765d6d3ffec96f9965d004ad539098e;505545;1991197
2023-11-25T12:58:21+02:00;8157d49060b9b55f49fd25ea79c20413d8f97730;506927;1985758
2023-09-23T09:41:11-04:00;9babf611454e286521f9cf41a4ea861dd90ae50f;505335;1976143
2023-07-22T15:56:50+03:00;b4824faa62272823d1e6326682a1f5c303498f7e;449543;1910024
2023-07-08T16:43:37+03:00;0a35c991c19a6dd0a707f2baa868f8989242c3ab;449434;1861526
2023-05-06T03:59:59+03:00;8d1332d135f81d42f3ca5fe0b0906d0e48b44043;449146;1856218
2023-03-07T06:30:10+01:00;8179555730d23f43b3043df0bfecc9f9c4f36eda;448774;1850197
2023-01-06T06:30:10+01:00;3fcbb865853d7c364cf7c2986ead9e258f449f97;447644;1843621
2022-10-06T11:06:07-07:00;cea1e95d386270e1e682719232f2cfad384fab91;440294;1795868
2022-06-14T15:59:46-07:00;98bfb240818bae14cd87a1ffeb8fae7cb7846e05;434089;1768042
2022-03-08T15:41:46+02:00;d509d1e1a884a33d6e8a5196bc0e8314b0a892f9;419030;1735586
2022-01-06T15:47:17+02:00;66e50562e818ae181f98f139e07bd56d0d6aadb3;412499;1719904
2021-07-25T23:34:55+09:00;13a9a5e836cbe6e64aadaba40fe1f7eb83320d08;394285;1677041
2021-05-19T22:02:06+09:00;e48372f8e5722643e37185b004469acd174663f7;392925;1668066
2021-03-14T23:24:49+09:00;7a7bc15242896b20c7af49f77f0e22c3d78e4d88;387055;1649912
2021-01-10T18:49:51+09:00;aac33a8074c41354ffdb1236a342da16dca4a1bc;385202;1647188
2020-11-09T16:57:03+02:00;bffd5d3a9d44ed99d6a573dc0fabe542d6b3bb8b;372847;1627071
2020-09-09T07:51:14-07:00;fecdc1a66a278a4ccaf160d23c0becdc43965fc8;372416;1614058
2020-07-11T15:35:43+03:00;e9e3b6cd225170c3643f2b4264b0740f85aa17df;371498;1599546
2020-05-09T10:03:21-07:00;5c890bfc191d0cf18dccbbf50ebdcde946a0d7fb;371069;1596765
2020-03-08T16:57:41-07:00;a461baae79af3cea8780e9d9a845a1e859e96e5e;370376;1593571
2020-01-01T01:08:16+00:00;c6fb86b40bebf597fccbe4eba58ceea83bd9700f;370036;1592419
2019-10-26T09:55:12-07:00;8ea63ecdd9b76fbe074bcd6b97ee8400667455a4;368478;1583431
2019-08-20T09:04:53-07:00;af103ef3c9d6df07475e2b3a2f846246d7fd2a8b;366074;1581564
2019-06-15T13:16:36+03:00;33c585edd4e228ea24f0d3924571c7d950079073;363765;1575001
2019-04-14T09:24:42-07:00;5ee5895f9b7b829783bc0f217095748076cc77e9;361428;1569289
2019-02-08T09:20:40-08:00;0f9940505f87de74c86de17e8a7bf793d9d8dda4;361167;1566129
2018-12-10T09:43:05-08:00;fd1afe2d2ae9565149407b32bcde8ac691f2ce22;355330;1557203
2018-10-09T17:49:59+03:00;cbb674287878877abe38065d0cc5fa28b7fc577d;354980;1554742
2018-08-10T11:37:11-07:00;bd6b6cdb62aac5be34a8bb367f43d8367fc341f8;350079;1548441
2018-06-10T18:47:27-04:00;962547791e6ea16b18512e6b933a5317c464da26;341809;1535429
2018-04-10T07:50:48-07:00;fbe04ad8462ca2eccc58e7a325f6aa42e44a8c6f;341093;1532628
2018-02-09T11:12:48-08:00;875cb835f00260d58c536b3a3f7c0343fd5f28dc;340793;1531426
2017-12-09T11:23:03+01:00;01db80046f41c94569efd5dcdb11a1e46b3f16f3;339506;1526671
2017-10-06T10:35:07-07:00;53da55b8cc45e76b836ebaadd23f46e92d25abce;338875;1523249
2017-08-07T21:09:19-04:00;bec5b602597b8b6f596067167f3b3fe0e6eff285;337655;1515709
2017-04-02T18:10:57-04:00;77083e2d34ba5559ae2899d3b03cf08c2e6c5ad4;333058;1493549
2017-01-30T18:35:43+05:30;bf7f7c0d82a56ed1b76358657e74ca2833b19fe2;330729;1465613
2016-11-22T09:21:03+01:00;2043e6004cac26b8cfacf079cd31a1caa11a699d;329358;1482948
2016-08-22T14:40:35-07:00;c325e199668a2449a9b0d662e114eec9d4802288;328217;1479379
2016-06-08T07:36:41+02:00;3f4f21b406a56d504c03a9bab3ac0949d8774c17;328345;1476499
2016-04-03T13:39:52-07:00;b1c7207dbbc5b35aa2fa6e69a3041299e881dbb6;327997;1472749
2016-02-03T23:56:17-08:00;d95c7bb472cd259661dfed41ccfe534f9026c826;326393;1468597
2015-12-02T12:05:09+00:00;5874cd46e9cd8b20c61190ad56055d73816c2303;321160;1476899
2015-09-27T17:06:12+09:00;52beda922d2cb523a03661bf74b8678c8b45e440;320457;1470961
2015-06-30T03:47:18+00:00;f66d4e860ef45719628e3c2bab336f62fff38db2;319783;1466445
2015-04-29T11:18:25+02:00;13cf735fb1c4685c0b4e7a7f8554d2064dc70073;293321;1431421
2015-02-01T00:37:46+01:00;69815dfe3704f8a8c733843f1fd04546cbb0f4d0;294212;1427471
2014-07-31T22:31:57+02:00;1d8b8a2d8f75d1e3ec9eb109e98720bd9a197bec;292885;1417702
2013-09-16T18:10:39+02:00;c1c9aa247cab9148916b367e719219ea0f055adb;311678;1423297
2013-07-18T13:14:43-07:00;6c1769c85ecb61b40a1f9a3b56b61cdd6c1f8992;301781;1407194
