Date;Commit Hash;LOC;Total LOC
2022-09-19T14:58:36+02:00;7735ec71d172b51484624f9cc3c291044f6a06b1;251394;285737
2022-08-17T10:48:49+02:00;7d6759eb5e9e5d83833de1619f5d6ae04d72f2e9;251131;269407
2022-05-17T12:15:25+02:00;8550a53ee292b00e34f9552068c863d4fe3b9b01;249907;267375
2022-05-17T11:36:22+02:00;d74d3a328e2bbbba5f07706fb9a352c9fb488f98;249903;267371
2022-05-16T10:26:00+00:00;d47ee9382df85abf94e7db707afa7f947073acdc;249893;267339
2022-05-13T13:23:49+00:00;75ae29996c784d71521be9f6427fdbc7dd83aac9;249862;267307
2022-05-13T10:58:30+00:00;d72549a205a4e47bd2fe6e03343e2c430b5271d7;249877;267322
2022-05-13T08:50:48+00:00;b128771f2264fc0a055ab6eb9d03f1cb1dbf0781;249182;266348
2022-05-10T15:32:39+02:00;29b34dced5b50698767f15162c8390c2c11010ea;252979;270156
2022-05-03T07:23:57+00:00;48ee7f9567b18c586c60a10fe3558b706397371d;246285;263336
2022-05-02T16:42:46+02:00;462fa9a2bb6023f2ab6488f967c2053bc2e5e979;246285;263336
2022-02-18T12:20:30+00:00;cbeb64b89833751f66bfc592bfe353646b962d79;244997;262050
2022-02-17T16:40:21+01:00;4b3cb258c74da8ec465ace82308cd23c92a5b555;244030;261083
2022-02-01T14:28:04+01:00;2c371d210de2fb67c20b5e21d08ec591a1dedf64;193265;210305
2022-01-31T08:59:13+00:00;343e7cec9058a5057f2c32caade803a7152342f5;193247;210278
2022-01-21T14:45:24+01:00;ef3d1d0b11d2732b05c90c8d1e80e54baff48fcf;194034;211474
2022-01-20T17:21:20+01:00;8395bda14ccfa945272be431fbf6c49e459121f5;194022;211462
2022-01-20T10:04:14+01:00;1fe6c397f0fbb45a21ba78f3453de59d9c4a8162;193973;211432
2022-01-06T14:57:01+01:00;8c0854d2cfcfc748be2eca5dfb9c64736f6e0d4f;192526;209983
2021-12-17T11:22:05+01:00;23b36b4687d851aa67faefc9431fcf9cfe1e5893;192519;209971
2021-11-17T11:47:32+01:00;175a19e1ba851eb16da60c3f157eb7b41f96e4b7;192433;209866
2021-10-07T11:18:04+02:00;581ee90f2e52096be89f9749001bce3e596b36a7;192019;209234
2021-10-05T16:00:06+02:00;b58050226e247dde6d395cdab136089fba37f430;192016;209281
2021-09-23T10:32:15+00:00;e3a3f269470c188cb23e600d48aaccdbdfbc1821;191968;209217
2021-09-11T08:55:56+02:00;17b5f3d544f6bb44d0b6cb5b3422fa75f1fafabd;191316;208398
2021-09-02T09:32:22+02:00;cf46bb55ee119a8ee94f086d497b155f2520d06e;191307;208389
2021-08-03T10:10:19+02:00;9faa7c62335046af35f0356dc6be06fe16eff6ef;190928;207679
2021-07-08T20:33:01+00:00;8f0ed892a35f0d8b6695f863f688b2e4e794a370;190834;207583
2021-07-08T16:18:55+02:00;2982021f60baf1e6e3d6d4d12fb15370efffe83a;190834;207522
2021-07-08T15:02:02+02:00;cafe07f9a3b04ce8dfc9914f4d633e4f83b0caf6;190834;207513
2021-07-08T14:46:12+02:00;4d352413df942a93786f5bee186f071014a13ae1;190834;207513
2021-07-06T17:16:28+02:00;637f08429c6cc632106204b340c4b349b545239e;190832;207511
2021-06-23T09:00:16+02:00;fb9d53b398bd478cfd4f0b60f933012748a1ef9e;190444;206121
2021-06-22T15:28:34+02:00;1e487c96f2d4c43175c046d0721b37998853a063;191065;206742
2021-06-22T09:09:03+02:00;ec66a0fc2d4b8b184ebdf3b14387b76e0280ac2e;191030;206707
2021-06-21T18:26:43+02:00;81bf1e1383672d9a1a81125f128db86b6cc8e7de;191032;206568
2021-06-21T15:28:53+02:00;31cf903cb42e1623be6cd85063f0cd05277410c1;191028;206564
2021-06-21T14:11:52+02:00;1890e777a6c58a30eb87e453b17c33bac300d0b7;191026;206562
2021-06-18T11:28:23+02:00;7908a49122d68c49f3eb58fca72b8388011ec777;191019;206467
2021-06-17T13:51:48+02:00;10ec5246037c159709f4d94d152aea8415edafd3;191008;206302
2021-06-17T12:56:54+02:00;ef282e1161453cc5155d9fa28ee6f11edc49b6fa;191013;206307
2021-06-17T11:01:40+02:00;5d94f7c2f0f7d875413570bd0dde21c174e2c9e9;190982;206276
2021-06-15T17:45:30+02:00;bc744be610b6028d7b95123237628f761268b177;190933;206231
2021-06-11T09:10:54+00:00;13ab7e33709f2aa0aa733005e987e1d0bcb84648;190886;206163
2021-05-28T13:10:40+00:00;20b1fa372923df3a36cd575d4cbb7809dee6cb11;188000;202736
2021-05-25T18:13:37+02:00;6a3d42a2a936c700e81fc40df3576c6943d11079;187948;202682
2021-05-20T19:34:16+02:00;44a031b8c0f4f743c5c3a476607c6de0441af8c4;188226;202960
2021-05-11T18:37:54+00:00;836d198ba24c6a960fba3b9aa89bcdb1d7c558f1;180615;195340
2021-05-11T18:03:30+00:00;914bf75caba2ddda353da04ec45454951ce771c6;180615;195340
2021-05-03T19:43:46+00:00;90d781c8a460079ba5a52d2bbbb277fb3b178938;180514;195239
2021-04-22T16:08:39+02:00;1551acc2117573c19b01a8214a2540388385216b;180318;195042
2021-04-06T11:20:33+02:00;2925ed4d6d61f3e7057a46749fe928cf946cd097;180269;194993
2021-04-03T17:16:46+02:00;4e2a57c0a2f6150ab1f1d6e4628f7899b1a0002d;180198;194922
2021-03-25T15:46:22+00:00;d63d5b10816041cc5a238a4f2820ec7da6f69c8c;175122;189837
2021-03-18T14:18:23+00:00;20f5cd07f27909d5646e4081304571149529ae64;174716;189429
2021-03-16T09:03:45+00:00;10267c7520f2df6c7e7022b985680d95b889cbb8;175324;190037
2021-03-11T12:15:02+00:00;b9c64aef10f611d12bcaee97de24298d7633ed35;175192;189856
2021-03-04T18:42:19+00:00;593b3d5771eb6909dbc65133de2185fb31278645;175018;189682
