Date;Commit Hash;LOC;Total LOC
2023-01-06T16:20:05+01:00;b10e0898cd84e82b6d4d0a8fd407c93dfa839abd;14967;15273
2023-01-06T16:40:42+01:00;9c0ee500354a488936d0f1663212b82d607281cf;14953;15259
2022-11-09T18:29:35+01:00;dd1b8dafebaef03e769938dad0e29a1645ebfd17;14948;15254
2022-11-03T09:06:23+01:00;c1dff458586183699a3022e0f8461a5639109313;14948;15254
2022-11-02T14:36:35+01:00;fcc9543dd0d59f90d03410d90c5ec97e54c57e2c;14948;15254
2022-10-28T12:01:05+02:00;5eecc3885b877f2ca964b73c686c1ee11d89da1d;14947;15253
2022-10-28T09:35:46+02:00;27014b4b0824523b0b61a9c24e93f6a745cd17b3;14946;15252
2022-10-28T09:34:22+02:00;bd234bb1714a5c2cde8fa065a65392e8201c0e5c;15285;15587
2022-10-13T19:04:32+02:00;1906e3b49609ae8244897cc88f8dd20d9a1c9798;15285;15587
2022-10-12T17:02:44+02:00;a46996d157a0dd0cfdff3e253e587f134ea5f0bf;15285;15587
2022-05-13T22:00:32+02:00;6ad59b7db2be69ac3f60e4a58795b71855e1b523;15285;15587
2022-05-12T07:33:04+02:00;238ba21ee3227cbd6ca136f093301de206865568;15280;15582
2022-05-12T07:03:24+02:00;899d4e00522e7a6d2204b3d60ca53b87cbd4ac2a;15282;15584
2022-05-10T14:31:43+02:00;eedeebd0c8e1acaed331ff53821925053cf005f4;15280;15582
2022-04-02T16:35:27+02:00;1c685a9e6daed4bd7380e1d90b4db9a79da27b70;15290;15592
2022-04-02T15:44:00+02:00;7a14151408ff04f9b2634b1a500b3baf4cfb1f46;15290;15592
2022-04-02T15:38:12+02:00;f82c7b234cbffdf802b259c20d0bd89baef6984a;15439;15741
2022-03-24T16:51:03+01:00;cba7f9317165b5db83c157ef09bc637b92583716;15439;15741
2022-02-28T12:36:16+01:00;f7d926b0e866bbf7bedfa4e7bf8162c65255df05;15433;15735
2022-02-28T10:32:53+01:00;0ccc05d1a63ac293715de30f689a5a7fc10c53a5;15430;15732
2022-02-28T09:15:08+01:00;2211ec87b15e287909a7fd8a325e78a43dcf1a38;15432;15734
2022-02-14T17:34:02+01:00;ae7bd35a0dabacc903f697006ac48286d97b832f;15417;15719
2022-02-14T17:32:57+01:00;14af8949b02cb0d14e2b2b17707ccc5dd63fee98;15399;15701
2022-01-02T23:37:59+01:00;d7387b2adfcac802394d440fc48fc2432d43e17a;15399;15701
2021-11-16T16:43:40+01:00;39e32cdb0b5563db0339731417fd774ceece6b6a;15395;15697
2021-11-15T12:39:20+01:00;4456fd84902a16eac71d47dfb55b0850e5b11c3a;15395;15697
2021-11-15T11:37:25+01:00;bd8e95906a9a951b2aca62f91253ebd49626f1fc;15410;15712
2021-11-13T11:04:03+01:00;ede3fd16488182b2541d3d38c5d11bf865ca0c57;15410;15712
2021-11-13T11:20:48+01:00;4e623fd35a72ea90a56f8efa0b2aa17a0d0c3a1c;15387;15689
2021-11-10T17:01:23+01:00;8550cb2df12b79d2d973c3fff77df7c0a05e9a38;15375;15677
2021-11-10T14:47:59+01:00;54be5f8401492b92d0b91167b3d2bbaa48f6fe45;15375;15677
2021-11-10T12:53:17+01:00;dd32b79c8e41e1e3db66be744a3e1eff353bed06;15368;15670
2021-11-02T09:33:42+01:00;10b50f314021df4e6a18a6fcb7e7b3ddb25b783f;15368;15670
2021-11-09T16:08:03+01:00;9bb96d9f7add0f9d9046a293e70ff382b89ae142;15320;15622
2021-11-08T16:33:44+01:00;4678acca35a3d3a3910988143451818fa35a65ed;15289;15591
2021-11-08T10:45:00+01:00;35b3104dbd8c46706139d68eb4dbc2843f093604;15287;15589
2021-10-20T15:56:55+02:00;adf29f8a38f3412c1ac64fa0f057d789ee54757c;15286;15588
2021-10-20T15:28:11+02:00;6547fa193363c3abd7b472b042cb241ccde0f2a8;15291;15593
2021-10-20T14:44:48+02:00;7e29685a681dc72dd9f371f2da9248271b2ac88e;15291;15593
2021-08-26T10:22:25+02:00;6a4e21bb86cda66396f27d3473471c52a2357edc;15285;15587
2021-08-23T17:49:33+02:00;6276a90ddbbfc2b37997f464a3efbaa97d602f35;15285;15587
2021-08-20T09:42:17+02:00;ec7ea94dcd12a5d7e65121f6a9cbca55f3f82766;15264;15566
2021-08-19T17:52:11+02:00;f9bed764aa0084e950728f16c674ca538d00e530;15264;15566
2021-08-19T17:21:45+02:00;13ae812b344d5862dddab6dd0abf6da2f7f314f0;15263;15565
2021-08-19T17:20:36+02:00;9821444067966df8d6d9679727eabc0411cdc799;15255;15557
2021-08-17T12:27:25+02:00;7639503d7595b226c6fef93b12727a5ed6acea90;15254;15556
2021-08-17T12:12:17+02:00;4d092d7b9e1c846e4ee1e3fc8bd6db3ebe9e6053;15254;15556
2021-08-17T12:12:05+02:00;4421a790ba1d62832e96d6c721099a180288feff;15253;15555
2021-08-10T15:05:32+02:00;94c3677962d96922fb2baf8a2a5958673f00d395;15254;15556
2021-08-10T14:14:56+02:00;30fed1103eef769d2db891edbe105f069a8b4896;15237;15539
2021-07-28T14:50:38+02:00;1f22b2e331ac1ec619747f3a25794c626b6b3a8e;15228;15530
2021-07-28T14:57:27+02:00;4d3a2df2272f0ae19b530836e86bc97c53871d5e;15228;15530
2021-07-19T15:15:38+02:00;74c0208256e248921f9ee5086602f525a029c539;15228;15530
2021-07-20T17:32:28+02:00;c73ab8a025f289f7e8134d9fdaa236a560ee6d80;14987;15289
2021-07-20T14:00:44+02:00;97ab00051bf7222d4567e89da65e20153cc7fcbf;14965;15267
2021-07-21T15:30:59+02:00;51b7c93af679dd6ccf62d13743f6268d6abe5a89;15054;15356
2021-07-22T15:54:43+02:00;c75d153507693c5b29650d6b9bd3f20c0c730bec;15053;15355
2021-07-20T16:38:16+02:00;30ba103e98c839c02cf6fe3f3e67f03072f5f6b0;15053;15355
2021-07-19T15:52:31+02:00;94f894b0517db0dff26562989f3608b84d0d8634;15047;15349
2021-07-20T15:21:11+02:00;472f42633d97a33347f4961f985cc0ff90c19480;15047;15349
2021-07-16T09:29:14+02:00;ee569cb6e99fa4d8dda0c076a60bd164c8ff142b;15047;15349
2021-07-09T16:44:14+02:00;364096fd87fa4c79721ed73bd3dffac7d11beba2;15052;15354
2021-07-12T09:15:50+02:00;cd52152461b0e4b3d23c767acc66adc9ce1fb9e5;14945;15247
2021-07-09T17:27:25+02:00;bd6e359e824b74e62bc200a0ec70a0eed2d0f018;14947;15249
2021-07-09T17:11:32+02:00;d9f253c8c2e1a09f353930625c10916d820c729a;14944;15246
2021-07-09T16:59:50+02:00;d6c5a13b7e332c5db44df892c66b883aa11765e0;14953;15255
2021-07-09T17:33:38+02:00;1d7327804a8389fe44fc01c3b24c03685ca712dc;14948;15250
2021-07-15T09:19:03+02:00;4886b086ef441253052dcf252f42b37f21794246;14924;15226
2021-06-17T10:45:55+00:00;8dd8b5204efa8d275a0b587a935ac5fceda420f0;14932;15234
2021-04-27T17:59:52+02:00;53363ae607b9983f4822d09f09f3db992e0ad8ce;14798;15100
2021-06-08T16:58:41+02:00;5581699f3174f9a4d77432cdecce823194960f8c;14779;15081
2021-06-08T16:58:04+02:00;90ec433cd6590f9ec195d70987c0958d82bc35d5;14779;15081
2021-06-08T16:56:44+02:00;e29600bd92a7a059502d686d71c7b5ce5c7b5155;14779;15081
2021-06-07T14:28:10+02:00;f721acdffcb2367930d166aa7a3176c8b1088ce1;14779;15081
2021-06-04T09:39:16+02:00;5987b668a89a383d6e2dbc7f08fe3227c67d4802;14778;15080
2021-06-04T07:09:49+00:00;09c7b2fa4f80404050f5da19f9af5c2faaac13d3;14773;15075
2021-06-04T07:34:21+00:00;54d5b3ba45bc89b1182f50ad02c7d2d893404996;14773;15075
2021-05-28T17:37:46+02:00;c22431a621d44c91db24bd9573f05fa05a9f5447;14772;15074
2021-05-28T16:12:34+02:00;246a0c691c308cbf1f44a39abc0450fe0a5e2634;14772;15074
2021-05-28T15:26:55+02:00;0a8e42da3ab373adfd5f81dfa16525efbe89a34f;14771;15073
2021-04-29T14:16:56+02:00;a6a981ae9237139b89cc0e67694ab33240da9ac1;14772;15074
2021-04-27T18:22:32+02:00;285cdb24dc5b3e362420d151fb2410cc6c5ec29e;14770;15072
2021-04-26T13:54:18+02:00;b3b598bd5f37d7665fbe363a9dae39a64f39b09c;14769;15071
2021-04-22T16:10:42+02:00;e0f34af5eaf36329a336742183e17755df174b4c;14802;15104
2021-04-22T11:22:29+02:00;1277054c22eeecfbdff0228934f830bb57d7befb;14794;15096
2021-04-14T10:48:06+02:00;70c64ebcefcc320a87bfd60752375067aad730d0;14772;15074
2021-04-13T10:38:10+02:00;368c3d959b9f82c9e99c449bd48655ad6a2b0d9e;14772;15074
2021-04-09T14:56:59+02:00;fe661faa9912b45221549eb0ee7a2832845c993a;14771;15073
2021-04-06T16:56:51+02:00;a7e0cccfafb1a6f1dcccfd06fa84c1bde991e317;14771;15073
2021-04-06T15:29:48+02:00;30b3c4661ce9c17ba1886eee2cc2d684b29b90a6;14770;15072
2021-04-06T10:46:16+02:00;a156f2f7f64581b097efd05887ec9e5186755592;14770;15072
2021-03-26T09:19:51+01:00;47f9d2d08f2f0239434a6dba147dee4df1b8ce6e;14768;15070
2021-03-26T09:16:46+01:00;16d656d546ca12f55f1fcdd1b746478a8b6013d5;14770;15072
2021-03-26T08:47:05+01:00;e5f9174c25ebf5b07ec0c5b298d6ea2da83436e1;14768;15070
2021-03-26T08:19:39+01:00;b54663f867c26db5c7ffe50c500a8603377817c2;14768;15070
2021-03-29T09:20:17+02:00;0dfb45e17b948d95819f1b64dd8de000cc5cd92d;14761;15063
2021-03-24T17:13:45+01:00;06c39ca404e1692522262be5de98440cbb24563e;14760;15062
2021-03-25T07:18:29+01:00;e0541310527a92ae0ad372abf4b72b9b1bc02236;14760;15052
2021-03-24T08:27:55+01:00;0ddf4d3332cc42d9ad5ab26bd3f9e0ac3804bcb1;14759;15051
2021-03-23T12:03:38+01:00;9233a7e81fd56ee547f449eecc059676d6a163a4;14763;15055
2021-03-23T12:13:21+01:00;70bdd9b27140f1ba62b79c6fa0a8beccbdd7eef0;14763;15055
2021-03-17T13:30:36+01:00;31bcc3ea6210bd6aea44385416335c6e41d0d546;14763;15054
2021-03-17T13:49:35+01:00;55c5d7be753fd4438ee009c03e8b91b24427e50b;14768;15059
2021-03-17T13:48:47+01:00;6c0bd234fb7fdec036503b1f3dea43b3f441ab37;14766;15057
2021-03-15T14:13:52+01:00;3fbb5add833534e9e0472fcda1d22d394bb7d8d5;14764;15055
2021-03-15T14:10:27+01:00;6ce7927c4bfef0d0cee381f71a713b44f831860e;14764;15055
2021-02-23T11:11:04+01:00;004fcb31aa82bf670a2b9db9b03784adc9dde035;14764;15055
2021-02-19T10:22:35+01:00;18cd72dea7f05c8168b65b72feebfee242091015;14764;15055
2021-02-04T18:21:12+01:00;1ccc7a40caddf103e43e5f18f7a06fc46f5287cf;14756;15047
2021-02-03T09:56:48+01:00;fcae091a4dfeea0795761bc013d40bade1add9bc;14754;15045
2021-02-02T18:10:06+01:00;49f8f9b859da369d71725019abea0c1fdc504916;14749;15040
2021-01-29T18:44:16+01:00;b069a985ad05702c03eb70cbae1ef4df08676bdd;14734;15025
2021-02-01T18:43:07+01:00;39e3cbe62ba55a52316e539707123ec259f00872;14708;14999
2021-02-04T11:37:14+01:00;da2b1509cd9e24560c001c6424a149d95b516fd6;14707;14998
2021-01-21T10:27:20+01:00;a9a6b30e78c0d700e12f3b5afbb2b5a4b4e4fbe5;14707;14998
2021-01-19T12:12:59+01:00;6ae0291751147e971cb872e04d85391d2079aa68;14720;15011
2021-01-15T13:51:08+01:00;4aec050eabbbd9b2999aa7fd2d23a6a088c72c23;14693;14984
2021-01-18T12:21:42+01:00;08628c79a27196aed8b4fd57c1f9dfa66f8019ee;14696;14987
2021-01-11T10:25:23+01:00;9e475dfe8aae1fef31dda0f4d6005bd9c3ab7e5c;14671;14962
2020-12-16T11:37:14+01:00;1aae1176520a49f26a55e28679abd8d120697e9d;14484;14775
2020-10-10T09:56:56+02:00;8ff276aabc0a0cd45e192554bc32b89db587f83f;14485;14776
2020-12-15T11:58:29+01:00;3c394aedc7f7e6bc99d9ab599b1feabc24325949;14502;14793
2020-08-11T11:15:23+02:00;c7f9162f31f178babf6dd5286de5f5b43529cb4b;14497;14788
2020-12-11T12:40:27+01:00;e4eff49cfd0c1735b01395251807566dd8a6dabd;14490;14781
2020-12-09T15:02:54+01:00;0f289ccfcee1bbac48de1e88e7e116143330938b;14472;14763
2020-11-30T09:26:09+01:00;8667887a031fac6b7aa70eb8607985d3f03bd811;14483;14774
2020-11-23T08:41:54+01:00;ac7461252f9fa635212ef9d115650556598f6e8f;14483;14774
2020-11-17T14:09:37+01:00;45fbd2817333316d548779ce0f16a33de15dabc7;14374;14665
2020-10-27T10:16:21+01:00;008d66147d7c247836dc248faf87e9f88c6694a4;14360;14651
2020-10-28T13:26:08+01:00;9db8e67109a625f94cab6456fc18c39a9584397e;14358;14649
2020-10-26T10:59:44+01:00;d221b91b7768a4b1a409d3ce4450a42a5b2d0c68;14364;14655
2020-10-16T09:37:43+02:00;ec2f73c49372e31ae8c4a970672eeff3f54fc69a;14353;14644
2020-03-09T11:30:26+01:00;06e5f4474328188cbc4ced5f6f794daafabf4382;14348;14639
2020-03-06T15:54:43+01:00;dc25ab886610822944a9d0fc47c9e465d4f0ff55;14348;14639
2020-08-26T11:27:07+02:00;f1a77b2affbac906aaeda03fb17a8d9e746c5ee9;14304;14595
2020-08-26T10:49:17+02:00;c4430bc250931ddf3293a2dd4cc5d4956987b4c8;14301;14592
2020-08-26T09:44:51+02:00;7228cbb1cefbc20a03856f8fb526df971bfb1fc4;14291;14582
2020-08-26T11:16:55+02:00;cf2a2de383d89a95866bc498885fd2e3c1f1b065;14289;14580
2020-11-05T13:27:21+01:00;9972bfd8b5b5496babdb0c371f2923dcb550ac92;14290;14581
2020-11-05T12:39:21+01:00;4d9b0e8ee9e7bd45259283dcf8d7b3f73eb06a3a;14289;14580
2020-11-05T12:30:42+01:00;d5ffba6d49732338ed75ef67a4fc365a6ccdb8ab;14289;14580
2020-11-04T14:29:51+01:00;4e2a41a67edb736cb7b8f611f26de423f6bc61a2;14253;14544
2020-11-02T10:00:54+01:00;c148b39bdc9e213a08c9d030fafd7d9fbbb6619b;14264;14555
2020-11-02T09:58:29+01:00;3821d352f4d405587d8a4c93f8966b46aea48438;14264;14555
2020-10-13T15:43:15+02:00;ab297dd320bb3ad24b9ccb3d8f0683ba622791c9;14263;14554
2020-10-13T10:05:08+02:00;694dc8ee4b04bb1d9d509611d633f3478c138cf6;14269;14560
2020-10-09T17:10:45+02:00;7d3bfe0a1c3f6d043c219e1447a0d7a3d453cdef;14200;14491
2020-10-19T15:16:09+02:00;aab464e79d2821bfd035ff053172991f073c77a6;14171;14462
2020-10-16T16:15:08+02:00;8cb3160879d1ef524686bbc48dd4e4dbc113acb8;14171;14462
2020-09-21T15:29:13+02:00;6d251fffd064a2b617bfeb7d98828271cada2615;14159;14450
2020-09-30T15:41:49+02:00;9d5f9eec57940fd56c60ed8131ccb119e766e69f;13941;14232
2020-09-30T15:36:30+02:00;68f6830773f82baa73911bde5fe7e4667b33b4d5;13941;14232
2020-09-30T15:37:25+02:00;5438c75233c10aca97e229ec07f8e118f874a839;13932;14223
2020-09-30T12:47:08+02:00;22d6ef4189a34fb291b0d802a40db8e33f322d56;13945;14236
2020-09-30T12:45:51+02:00;d33ca66c7a60d73261322f5377a1b038466d719a;13945;14236
2020-09-30T12:41:27+02:00;bc31c2dac29225d1bba2e8cb51e29ed1de35e26d;13947;14238
2020-08-31T09:31:09+02:00;fdaf3291908ba45c8566f61c0ef48ba7572da755;13934;14225
2020-08-24T15:58:23+02:00;e44b1e783f141d321ce89abd0e3b2ff427af1163;13934;14225
2020-08-24T09:13:02+02:00;f4d14addeef84038dd283412975a94ad01421f4a;13915;14206
2020-08-21T18:01:12+02:00;f2fdc432a1f3c73152acfa8751e654773f00f302;13914;14205
